Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Charlie Green,First,Kian Dominguez,1,21,WON,100,140,60,41,60,23,77,,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Kian Dominguez,Second,Charlie Green,1,18,LOST,180,59,60,81,53,50,,,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Charlie Green,Second,Kian Dominguez,2,15,LOST,46,94,42,125,100,,,,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Kian Dominguez,First,Charlie Green,2,17,WON,60,100,45,96,100,100,,,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Charlie Green,First,Kian Dominguez,3,27,WON,66,100,66,96,53,44,36,30,10,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Kian Dominguez,Second,Charlie Green,3,24,LOST,40,40,44,59,60,59,59,90,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Charlie Green,Second,Kian Dominguez,4,21,LOST,100,55,60,81,137,36,0,,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Kian Dominguez,First,Charlie Green,4,23,WON,58,100,140,43,44,42,38,36,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Charlie Green,First,Kian Dominguez,5,23,WON,125,134,40,42,44,64,44,8,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Kian Dominguez,Second,Charlie Green,5,21,LOST,100,45,85,60,60,57,54,,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Charlie Green,Second,Kian Dominguez,6,23,WON,60,100,60,45,85,60,39,52,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Kian Dominguez,First,Charlie Green,6,24,LOST,140,45,58,42,59,93,24,20,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Charlie Green,First,Kian Dominguez,7,23,WON,96,100,43,58,96,52,48,8,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Kian Dominguez,Second,Charlie Green,7,21,LOST,39,29,118,70,60,78,41,,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Charlie Green,Second,Kian Dominguez,8,23,WON,41,96,41,59,58,96,70,40,,
Hammersmith,,,05-10-2025,Final,https://www.dartsatlas.com/matches/Vj4YJG3TVQfT,Kian Dominguez,First,Charlie Green,8,24,LOST,100,60,23,81,59,40,58,40,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Charlie Green,Second,Bradley Mackay,1,26,WON,82,43,60,58,81,26,45,51,55,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Bradley Mackay,First,Charlie Green,1,27,LOST,83,41,38,100,60,41,86,34,14,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Charlie Green,First,Bradley Mackay,2,26,WON,30,84,65,123,46,95,38,6,14,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Bradley Mackay,Second,Charlie Green,2,24,LOST,55,121,56,43,100,54,0,52,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Charlie Green,Second,Bradley Mackay,3,29,WON,58,58,125,40,43,60,47,30,20,20
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Bradley Mackay,First,Charlie Green,3,30,LOST,26,97,45,141,100,60,24,6,0,0
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Charlie Green,First,Bradley Mackay,4,21,LOST,100,96,83,96,54,32,20,,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Bradley Mackay,Second,Charlie Green,4,21,WON,26,100,76,50,30,125,94,,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Charlie Green,Second,Bradley Mackay,5,21,WON,39,59,59,180,58,90,16,,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Bradley Mackay,First,Charlie Green,5,21,LOST,140,41,100,85,41,43,35,,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Charlie Green,First,Bradley Mackay,6,27,WON,60,97,77,100,87,50,0,22,8,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/oaWbGY2swZwn,Bradley Mackay,Second,Charlie Green,6,24,LOST,96,39,28,22,55,35,41,20,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Tyla Samson,Second,Kian Dominguez,1,24,WON,100,121,60,46,84,74,8,8,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Kian Dominguez,First,Tyla Samson,1,24,LOST,45,60,100,55,26,28,32,81,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Tyla Samson,First,Kian Dominguez,2,21,LOST,43,68,100,81,30,92,62,,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Kian Dominguez,Second,Tyla Samson,2,20,WON,26,39,97,100,99,90,50,,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Tyla Samson,Second,Kian Dominguez,3,24,LOST,76,62,22,46,45,81,43,27,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Kian Dominguez,First,Tyla Samson,3,25,WON,99,85,46,85,67,59,0,20,40,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Tyla Samson,First,Kian Dominguez,4,22,WON,85,60,69,58,140,45,28,16,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Kian Dominguez,Second,Tyla Samson,4,21,LOST,45,15,140,85,56,55,53,,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Tyla Samson,Second,Kian Dominguez,5,21,LOST,22,100,43,43,83,100,38,,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Kian Dominguez,First,Tyla Samson,5,22,WON,58,100,97,140,58,16,0,32,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Tyla Samson,First,Kian Dominguez,6,24,LOST,78,44,41,45,45,98,96,14,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Kian Dominguez,Second,Tyla Samson,6,24,WON,100,140,57,23,25,81,55,20,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Tyla Samson,Second,Kian Dominguez,7,22,WON,85,100,85,41,60,44,54,32,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Kian Dominguez,First,Tyla Samson,7,24,LOST,60,81,30,60,80,21,60,39,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Tyla Samson,First,Kian Dominguez,8,18,WON,100,100,60,135,49,57,,,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Kian Dominguez,Second,Tyla Samson,8,15,LOST,60,100,85,95,43,,,,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Tyla Samson,Second,Kian Dominguez,9,24,LOST,100,40,41,54,84,43,83,16,,
Hammersmith,,,05-10-2025,Semi-Final,https://www.dartsatlas.com/matches/sEo6giAE5J6e,Kian Dominguez,First,Tyla Samson,9,27,WON,85,26,45,60,60,55,60,21,89,
Hammersmith,,,05-10-2025,Quarter-Final,https://www.dartsatlas.com/matches/FYn2RJyBxGZK,Charlie Green,First,Charlie Hardie,1,19,WON,100,140,119,56,46,30,10,,,
Hammersmith,,,05-10-2025,Quarter-Final,https://www.dartsatlas.com/matches/FYn2RJyBxGZK,Charlie Hardie,Second,Charlie Green,1,18,LOST,45,40,93,45,140,82,,,,
Hammersmith,,,05-10-2025,Quarter-Final,https://www.dartsatlas.com/matches/FYn2RJyBxGZK,Charlie Green,Second,Charlie Hardie,2,22,WON,60,121,60,46,60,66,74,14,,
Hammersmith,,,05-10-2025,Quarter-Final,https://www.dartsatlas.com/matches/FYn2RJyBxGZK,Charlie Hardie,First,Charlie Green,2,24,LOST,60,60,100,40,57,44,45,79,,
Hammersmith,,,05-10-2025,Quarter-Final,https://www.dartsatlas.com/matches/FYn2RJyBxGZK,Charlie Green,First,Charlie Hardie,3,22,WON,60,140,100,41,45,75,30,10,,
Hammersmith,,,05-10-2025,Quarter-Final,https://www.dartsatlas.com/matches/FYn2RJyBxGZK,Charlie Hardie,Second,Charlie Green,3,21,LOST,32,65,41,27,22,55,35,,,
Hammersmith,,,05-10-2025,Quarter-Final,https://www.dartsatlas.com/matches/FYn2RJyBxGZK,Charlie Green,Second,Charlie Hardie,4,22,WON,86,59,60,40,58,95,53,50,,
Hammersmith,,,05-10-2025,Quarter-Final,https://www.dartsatlas.com/matches/FYn2RJyBxGZK,Charlie Hardie,First,Charlie Green,4,24,LOST,47,72,42,100,40,30,31,59,,
