Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Raj Solanki,Second,Jamie Young,1,33,LOST,22,43,66,62,30,7,16,39,45,52,85,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Jamie Young,First,Raj Solanki,1,34,WON,46,60,85,41,45,59,13,82,17,33,0,20,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Raj Solanki,First,Jamie Young,2,30,LOST,20,60,83,26,43,22,40,85,90,16,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Jamie Young,Second,Raj Solanki,2,30,WON,40,45,32,40,100,100,19,50,55,20,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Raj Solanki,Second,Jamie Young,3,18,LOST,41,70,26,28,11,140,,,,,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Jamie Young,First,Raj Solanki,3,20,WON,81,22,57,100,100,109,32,,,,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Raj Solanki,First,Jamie Young,4,30,WON,60,37,21,66,64,34,45,9,65,100,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Jamie Young,Second,Raj Solanki,4,27,LOST,41,45,41,60,45,52,82,50,23,,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Raj Solanki,Second,Jamie Young,5,27,LOST,26,45,19,60,66,28,92,3,84,,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Jamie Young,First,Raj Solanki,5,28,WON,23,26,32,99,87,81,70,43,0,40,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Raj Solanki,First,Jamie Young,6,30,WON,96,26,9,24,32,41,140,40,57,36,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Jamie Young,Second,Raj Solanki,6,27,LOST,26,96,54,60,27,60,37,21,28,,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Raj Solanki,Second,Jamie Young,7,30,LOST,43,26,41,43,100,45,41,41,33,48,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Jamie Young,First,Raj Solanki,7,32,WON,26,41,45,22,60,58,85,56,44,56,8,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Raj Solanki,First,Jamie Young,8,35,WON,26,81,59,36,40,45,30,26,26,70,16,46,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Jamie Young,Second,Raj Solanki,8,33,LOST,80,85,25,42,59,45,86,39,20,15,3,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Raj Solanki,Second,Jamie Young,9,27,LOST,24,6,85,45,9,45,45,17,81,,,,,,,,,,
Southwark,Premier,37,,,https://www.dartsatlas.com/matches/Ck5J1BRGlrUR,Jamie Young,First,Raj Solanki,9,29,WON,28,42,42,30,81,59,30,59,94,36,,,,,,,,,
