Venue,Division,Season,Date,Round,URL,Player,Opponent,First Thrower,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Ian Gower,Darren Evans,First,1,42,LOST,15,42,64,43,60,33,62,30,30,56,27,17,11,3,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Darren Evans,Ian Gower,Second,1,42,WON,60,43,43,100,26,41,60,56,32,20,0,0,10,10,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Ian Gower,Darren Evans,Second,2,24,LOST,17,58,11,60,45,22,43,60,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Darren Evans,Ian Gower,First,2,26,WON,100,41,140,100,43,67,0,0,10,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Ian Gower,Darren Evans,First,3,23,WON,121,11,81,36,134,26,32,60,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Darren Evans,Ian Gower,Second,3,21,LOST,45,60,45,140,80,27,14,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Ian Gower,Darren Evans,Second,4,24,LOST,52,30,26,140,44,132,35,10,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Darren Evans,Ian Gower,First,4,25,WON,26,22,100,36,81,125,95,0,16,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Ian Gower,Darren Evans,First,5,21,LOST,55,44,30,55,60,32,76,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Darren Evans,Ian Gower,Second,5,20,WON,60,45,60,45,95,140,56,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Ian Gower,Darren Evans,Second,6,24,LOST,49,45,45,30,70,41,24,24,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Darren Evans,Ian Gower,First,6,27,WON,60,82,85,60,100,39,30,29,16,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Ian Gower,Darren Evans,First,7,30,LOST,27,70,43,60,30,19,19,76,43,56,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Darren Evans,Ian Gower,Second,7,30,WON,41,100,26,60,60,92,82,20,0,20,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Ian Gower,Darren Evans,Second,8,24,LOST,76,41,60,121,23,81,32,27,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Darren Evans,Ian Gower,First,8,27,WON,52,60,28,140,17,100,44,40,20,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Ian Gower,Darren Evans,First,9,33,LOST,41,28,26,28,81,60,27,26,38,29,42,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/cg29e1tBmZ6Z,Darren Evans,Ian Gower,Second,9,32,WON,55,55,30,81,100,100,70,0,8,0,2,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,James Edghill,Colm Mc Girl,Second,1,18,LOST,42,137,7,98,96,45,,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,Colm Mc Girl,James Edghill,First,1,20,WON,66,100,41,97,81,42,74,,,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,James Edghill,Colm Mc Girl,First,2,31,WON,60,40,81,60,86,31,76,0,27,22,18,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,Colm Mc Girl,James Edghill,Second,2,30,LOST,15,26,43,45,84,4,25,96,60,47,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,James Edghill,Colm Mc Girl,Second,3,27,WON,51,140,80,27,57,77,29,26,14,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,Colm Mc Girl,James Edghill,First,3,27,LOST,45,100,57,45,81,45,40,56,16,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,James Edghill,Colm Mc Girl,First,4,27,LOST,95,44,78,57,93,13,28,83,0,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,Colm Mc Girl,James Edghill,Second,4,27,WON,25,85,42,85,45,42,45,92,40,,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,James Edghill,Colm Mc Girl,Second,5,28,WON,13,46,81,44,95,32,64,46,40,40,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,Colm Mc Girl,James Edghill,First,5,30,LOST,45,125,55,46,41,59,45,31,14,30,,,,,
Morden,Division One,39,,,https://www.dartsatlas.com/matches/kqytO6fMnvB4,James Edghill,Colm Mc Girl,First,6,24,LOST,41,26,34,25,45,60,100,48,,,,,,,
