Venue,Division,Season,Date,Round,URL,Player,Opponent,First Thrower,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,First,1,54,LOST,29,79,41,57,29,42,67,27,20,8,30,69,0,0,0,1,0,0,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,Second,1,53,WON,63,63,45,22,45,60,22,25,60,40,32,22,0,0,0,0,0,2,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,Second,2,32,WON,43,47,83,38,74,57,93,25,0,0,41,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,First,2,33,LOST,41,43,60,40,24,55,26,41,59,24,36,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,First,3,30,LOST,49,29,57,25,58,13,29,22,27,17,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,Second,3,29,WON,100,24,21,41,57,79,45,41,33,60,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,Second,4,36,LOST,79,41,24,47,45,12,29,47,47,24,7,40,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,First,4,39,WON,100,2,60,45,45,22,85,40,52,18,23,1,8,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,First,5,46,WON,29,41,43,29,45,13,79,29,33,25,30,76,0,0,17,12,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,Second,5,45,LOST,83,22,24,41,45,21,40,43,82,80,0,0,15,1,0,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,Second,6,33,WON,95,83,85,47,35,84,25,31,0,0,16,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,First,6,33,LOST,43,22,81,30,40,60,41,60,28,47,0,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,First,7,57,LOST,33,41,29,83,9,10,33,24,33,49,17,53,55,24,0,0,0,4,2
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,Second,7,55,WON,40,85,16,60,100,43,40,33,69,11,0,0,0,0,0,0,0,0,4
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,Second,8,49,WON,71,45,43,38,45,45,76,19,43,39,0,20,0,1,8,0,8,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,First,8,51,LOST,60,41,22,95,22,35,83,22,0,30,73,0,0,0,0,10,0,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,First,9,51,LOST,45,95,67,35,57,33,4,51,13,29,40,26,0,0,0,0,3,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,Second,9,49,WON,41,85,28,28,43,81,59,34,11,16,37,25,0,0,0,11,2,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,Second,10,54,LOST,57,52,47,43,23,26,76,39,77,22,23,8,0,0,0,0,0,0,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,First,10,55,WON,24,24,59,45,45,60,20,60,43,41,25,21,4,0,25,0,3,0,2
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,First,11,31,WON,41,45,83,45,54,83,41,34,35,20,20,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,Second,11,30,LOST,41,61,40,60,22,36,100,81,40,0,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,Second,12,39,LOST,83,76,26,79,25,40,32,41,30,53,0,8,0,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,First,12,42,WON,32,61,81,22,23,30,140,32,35,31,0,10,0,4,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Teddie Stanford,Steve brown,First,13,33,LOST,45,45,29,6,46,11,29,22,22,45,28,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/JzyhCSehvyt2,Steve brown,Teddie Stanford,Second,13,32,WON,47,81,20,121,100,60,21,0,27,12,12,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Nick East,Gary Braisby,Second,1,33,LOST,122,32,9,25,180,41,49,23,15,0,1,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Gary Braisby,Nick East,First,1,34,WON,43,60,30,41,100,38,26,60,71,7,9,16,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Nick East,Gary Braisby,First,2,27,LOST,21,60,45,85,46,81,99,32,0,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Gary Braisby,Nick East,Second,2,27,WON,60,26,83,60,121,39,90,14,8,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Nick East,Gary Braisby,Second,3,24,LOST,42,59,81,21,60,45,100,73,,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Gary Braisby,Nick East,First,3,27,WON,55,45,7,28,81,81,84,60,60,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Nick East,Gary Braisby,First,4,21,LOST,45,80,78,37,78,72,51,,,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Gary Braisby,Nick East,Second,4,20,WON,80,140,60,100,41,60,20,,,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Nick East,Gary Braisby,Second,5,33,LOST,41,58,45,100,26,39,100,51,31,5,0,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Gary Braisby,Nick East,First,5,36,WON,26,36,28,60,41,40,95,95,40,30,0,10,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Nick East,Gary Braisby,First,6,21,LOST,45,45,28,35,59,45,45,,,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Gary Braisby,Nick East,Second,6,19,WON,100,26,85,85,43,140,22,,,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Nick East,Gary Braisby,Second,7,21,LOST,99,81,30,35,60,80,33,,,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Gary Braisby,Nick East,First,7,22,WON,85,81,55,40,80,45,75,40,,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Nick East,Gary Braisby,First,8,24,LOST,20,23,40,39,48,81,60,41,,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/ix7OSoJvS8Zz,Gary Braisby,Nick East,Second,8,24,WON,140,21,60,40,24,38,85,93,,,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/sM5WCtanHr3O,Jamie Loader,Kelly Gower,First,1,35,WON,30,64,41,24,15,22,9,41,96,44,75,40,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/sM5WCtanHr3O,Kelly Gower,Jamie Loader,Second,1,33,LOST,41,40,59,35,41,61,33,95,41,0,35,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/sM5WCtanHr3O,Jamie Loader,Kelly Gower,Second,2,29,WON,84,84,45,5,59,54,48,35,71,16,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/sM5WCtanHr3O,Kelly Gower,Jamie Loader,First,2,30,LOST,41,44,40,44,55,43,26,28,41,82,,,,,,,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/sM5WCtanHr3O,Jamie Loader,Kelly Gower,First,3,48,LOST,40,40,88,15,29,48,42,80,87,16,12,2,0,0,0,0,,,
Morden,Division Two,39,,,https://www.dartsatlas.com/matches/sM5WCtanHr3O,Kelly Gower,Jamie Loader,Second,3,46,WON,43,74,35,33,26,54,57,38,29,5,44,0,31,24,0,8,,,
