Venue,Division,Season,Date,Round,URL,Player,Opponent,First Thrower,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Jack Brownsmead,Nick Holman,First,1,15,LOST,140,125,59,83,74,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Nick Holman,Jack Brownsmead,Second,1,15,WON,81,140,140,79,61,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Jack Brownsmead,Nick Holman,Second,2,15,LOST,100,60,85,100,80,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Nick Holman,Jack Brownsmead,First,2,17,WON,100,60,140,100,89,12,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Jack Brownsmead,Nick Holman,First,3,24,LOST,100,45,81,41,95,59,60,0,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Nick Holman,Jack Brownsmead,Second,3,24,WON,60,180,100,55,36,30,8,32,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Jack Brownsmead,Nick Holman,Second,4,19,WON,100,60,84,140,93,12,12,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Nick Holman,Jack Brownsmead,First,4,21,LOST,60,41,140,60,90,78,24,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Jack Brownsmead,Nick Holman,First,5,21,LOST,100,180,66,26,40,41,36,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Nick Holman,Jack Brownsmead,Second,5,20,WON,140,100,57,100,44,20,40,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Jack Brownsmead,Nick Holman,Second,6,15,LOST,60,60,26,55,40,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Nick Holman,Jack Brownsmead,First,6,17,WON,100,100,140,82,39,40,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Jack Brownsmead,Nick Holman,First,7,17,WON,60,97,140,121,52,31,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Nick Holman,Jack Brownsmead,Second,7,15,LOST,81,81,140,100,43,,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Jack Brownsmead,Nick Holman,Second,8,21,LOST,41,83,83,81,35,100,39,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Nick Holman,Jack Brownsmead,First,8,22,WON,55,45,100,100,140,29,16,16,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Jack Brownsmead,Nick Holman,First,9,24,LOST,60,60,59,100,140,42,30,0,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Nick Holman,Jack Brownsmead,Second,9,22,WON,60,180,57,43,42,93,0,26,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Jack Brownsmead,Nick Holman,Second,10,21,LOST,100,60,96,43,41,41,60,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/KnzMxTVoiAZb,Nick Holman,Jack Brownsmead,First,10,24,WON,100,45,60,100,23,60,93,20,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,Second,1,30,LOST,26,41,21,31,35,43,35,40,96,41,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,First,1,31,WON,84,40,25,25,59,23,55,80,42,28,40,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,First,2,30,WON,100,42,39,60,20,43,39,58,41,59,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,Second,2,27,LOST,50,92,23,45,45,45,21,44,78,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,Second,3,18,LOST,45,140,134,100,76,0,,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,First,3,20,WON,121,100,58,32,70,90,30,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,First,4,23,WON,27,61,59,96,54,100,56,48,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,Paul Upfold,James Willcox,Second,4,21,LOST,60,30,115,74,35,59,9,,,,,,,,,
Morden,Premier,39,,,https://www.dartsatlas.com/matches/Gtbn8wplOYy1,James Willcox,Paul Upfold,Second,5,27,LOST,43,140,24,22,102,81,57,19,5,,,,,,,
