Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21,Throw_22,Throw_23,Throw_24
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,First,Simon Daniels,1,27,WON,47,57,67,57,43,45,43,78,64,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,Second,Kelly Gower,1,24,LOST,60,55,40,60,28,20,83,36,,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,Second,Simon Daniels,2,36,LOST,26,41,60,25,95,69,31,25,29,52,24,0,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,First,Kelly Gower,2,38,WON,21,45,55,47,40,41,45,66,34,21,70,0,16,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,First,Simon Daniels,3,42,LOST,35,45,41,29,38,29,43,13,35,47,38,56,36,0,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,Second,Kelly Gower,3,40,WON,40,45,95,45,41,60,79,20,58,0,0,0,0,18,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,Second,Simon Daniels,4,33,LOST,45,45,97,38,45,6,59,41,33,15,49,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,First,Kelly Gower,4,36,WON,55,26,40,60,65,24,35,74,44,38,0,40,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,First,Simon Daniels,5,30,WON,45,61,29,38,95,45,88,43,25,32,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,Second,Kelly Gower,5,27,LOST,6,57,37,80,57,36,70,28,74,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,Second,Simon Daniels,6,38,WON,33,45,43,31,71,67,45,41,29,48,25,0,23,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,First,Kelly Gower,6,39,LOST,45,83,41,57,40,45,55,63,32,24,0,0,8,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,First,Simon Daniels,7,29,WON,56,57,31,45,43,25,57,43,114,30,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,Second,Kelly Gower,7,27,LOST,60,55,41,82,42,57,81,43,0,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,Second,Simon Daniels,8,27,WON,64,21,47,60,79,57,41,84,48,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,First,Kelly Gower,8,27,LOST,50,100,63,27,29,41,57,54,40,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,First,Simon Daniels,9,51,WON,26,133,117,41,25,57,75,0,11,0,0,0,8,0,0,0,8,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,Second,Kelly Gower,9,48,LOST,59,93,57,29,85,38,23,31,24,24,22,8,0,4,2,0,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,Second,Simon Daniels,10,24,LOST,14,50,41,57,79,57,38,31,,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,First,Kelly Gower,10,26,WON,35,55,83,57,67,60,26,79,39,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,First,Simon Daniels,11,36,LOST,43,35,6,31,25,57,45,25,57,82,11,25,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,Second,Kelly Gower,11,34,WON,25,76,79,76,43,57,65,38,10,0,26,6,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,Second,Simon Daniels,12,39,LOST,48,79,43,57,29,25,57,41,36,34,36,0,0,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,First,Kelly Gower,12,40,WON,22,79,38,43,43,38,79,41,32,50,0,30,0,6,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,First,Simon Daniels,13,63,LOST,30,41,41,10,29,29,45,55,29,79,45,31,29,0,4,0,0,0,2,0,0,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,Second,Kelly Gower,13,62,WON,29,54,59,45,45,57,41,59,30,62,6,0,0,0,0,0,0,2,8,0,4,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Kelly Gower,Second,Simon Daniels,14,35,WON,47,133,45,45,57,29,29,24,36,24,16,16,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/ZAkiZqoiRVXZ,Simon Daniels,First,Kelly Gower,14,36,LOST,37,45,84,38,75,45,25,45,24,33,25,0,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,Second,Christine Jamieson,1,27,LOST,80,30,41,100,80,41,80,14,0,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,First,Keiron Daniels,1,28,WON,13,26,85,33,56,45,39,92,72,40,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,First,Christine Jamieson,2,42,LOST,25,80,43,73,45,47,60,45,31,28,0,0,12,10,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,Second,Keiron Daniels,2,42,WON,76,29,42,41,47,21,26,38,17,71,20,18,39,16,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,Second,Christine Jamieson,3,29,WON,120,65,65,100,60,45,28,16,0,2,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,First,Keiron Daniels,3,30,LOST,38,29,10,72,35,39,26,64,22,35,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,First,Christine Jamieson,4,36,LOST,55,45,80,28,18,45,45,65,44,42,18,0,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,Second,Keiron Daniels,4,36,WON,26,79,57,83,39,29,56,42,10,20,45,15,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,Second,Christine Jamieson,5,27,LOST,100,80,74,112,92,0,19,12,0,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,First,Keiron Daniels,5,30,WON,64,64,46,57,41,71,39,55,24,40,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,First,Christine Jamieson,6,32,WON,45,136,40,18,72,100,64,20,0,4,2,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,Second,Keiron Daniels,6,30,LOST,25,57,26,45,59,36,30,57,45,29,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,Second,Christine Jamieson,7,24,LOST,80,45,60,41,92,46,45,2,,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,First,Keiron Daniels,7,26,WON,57,45,33,85,76,54,57,70,24,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,First,Christine Jamieson,8,35,WON,56,41,45,39,11,37,61,80,40,29,32,30,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,Second,Keiron Daniels,8,33,LOST,60,95,21,41,54,57,41,59,33,10,15,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,Second,Christine Jamieson,9,33,WON,46,61,75,94,135,20,46,12,0,10,2,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,First,Keiron Daniels,9,33,LOST,57,85,95,83,25,42,27,32,35,10,0,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,First,Christine Jamieson,10,42,LOST,41,100,44,15,65,30,26,43,25,63,19,0,10,0,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,Second,Keiron Daniels,10,41,WON,9,47,78,75,32,33,31,45,21,92,20,14,2,2,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,Second,Christine Jamieson,11,25,WON,81,75,65,40,41,76,52,41,30,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,First,Keiron Daniels,11,27,LOST,41,42,45,38,95,73,45,31,35,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,First,Christine Jamieson,12,27,LOST,63,85,25,50,40,25,60,82,35,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,Second,Keiron Daniels,12,25,WON,45,37,95,45,33,78,45,119,4,,,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,Second,Christine Jamieson,13,32,WON,50,85,25,45,45,41,83,26,17,24,60,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,First,Keiron Daniels,13,33,LOST,21,29,27,26,31,45,45,45,46,41,67,,,,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Keiron Daniels,First,Christine Jamieson,14,42,LOST,25,26,35,45,22,19,80,85,80,40,8,4,0,16,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/qcSulYZrtDoj,Christine Jamieson,Second,Keiron Daniels,14,42,WON,33,37,79,76,45,17,45,24,57,45,0,23,14,6,,,,,,,,,,
Morden,Division Two,40,,,https://www.dartsatlas.com/matches/KESZrQoPwdgH,Jamie Loader,Second,Nick East,1,43,WON,41,80,24,26,26,28,65,41,33,33,37,27,22,12,6,,,,,,,,,
