Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,Second,Jono Harding,1,24,LOST,100,82,92,100,55,63,0,5,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,First,Paul Upfold,1,27,WON,45,60,24,85,81,26,52,38,90,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,First,Jono Harding,2,29,WON,100,95,41,28,45,46,78,12,16,40,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,Second,Paul Upfold,2,27,LOST,140,52,11,41,59,7,55,60,56,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,Second,Jono Harding,3,28,WON,43,28,100,60,60,55,59,64,0,32,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,First,Paul Upfold,3,30,LOST,60,39,60,60,64,11,29,56,42,76,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,First,Jono Harding,4,24,LOST,25,100,45,15,140,54,73,17,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,Second,Paul Upfold,4,23,WON,62,81,60,23,60,70,55,90,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,Second,Jono Harding,5,24,LOST,84,45,39,77,60,60,42,70,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,First,Paul Upfold,5,27,WON,30,59,58,57,55,100,94,38,10,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,First,Jono Harding,6,24,LOST,27,60,43,60,31,45,48,41,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,Second,Paul Upfold,6,23,WON,57,93,60,140,121,15,0,15,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,Second,Jono Harding,7,21,LOST,180,28,45,78,134,1,27,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,First,Paul Upfold,7,24,WON,180,22,60,60,45,58,36,40,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,First,Jono Harding,8,25,WON,43,97,70,41,100,21,37,72,20,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,Second,Paul Upfold,8,24,LOST,40,77,45,180,59,60,20,0,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,Second,Jono Harding,9,18,LOST,69,44,100,59,97,34,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,First,Paul Upfold,9,21,WON,42,60,57,84,100,92,66,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,First,Jono Harding,10,29,WON,60,60,41,40,42,44,35,43,96,40,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,Second,Paul Upfold,10,27,LOST,26,15,57,41,59,31,41,81,43,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,Second,Jono Harding,11,24,WON,45,100,94,44,24,44,118,32,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,First,Paul Upfold,11,24,LOST,60,22,23,45,41,21,83,54,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,First,Jono Harding,12,22,WON,91,43,100,85,84,74,0,24,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,Second,Paul Upfold,12,21,LOST,41,43,83,58,100,45,45,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,Second,Jono Harding,13,24,LOST,58,38,40,27,42,45,80,139,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,First,Paul Upfold,13,26,WON,40,81,26,45,174,40,29,34,32,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Paul Upfold,First,Jono Harding,14,16,WON,137,100,85,81,58,40,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/l7O6AsX5u0ge,Jono Harding,Second,Paul Upfold,14,15,LOST,100,22,96,100,81,,,,,,,,,,,
Morden,Premier,40,,,https://www.dartsatlas.com/matches/eV0mQwq2obNS,Nick Holman,First,Shaun Francome,1,21,LOST,81,60,60,41,39,140,40,,,,,,,,,
