Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/8QnJjqHqTp28,James Malcher,First,Charlie Green,1,18,WON,140,36,81,100,40,104,,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/8QnJjqHqTp28,Charlie Green,Second,James Malcher,1,15,LOST,140,95,134,40,56,,,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/8QnJjqHqTp28,James Malcher,Second,Charlie Green,2,15,LOST,85,45,95,36,118,,,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/8QnJjqHqTp28,Charlie Green,First,James Malcher,2,18,WON,41,58,180,78,60,84,,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/8QnJjqHqTp28,James Malcher,First,Charlie Green,3,23,WON,100,41,70,41,100,45,68,36,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/8QnJjqHqTp28,Charlie Green,Second,James Malcher,3,21,LOST,83,60,60,44,58,134,42,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/8QnJjqHqTp28,James Malcher,Second,Charlie Green,4,18,WON,100,55,180,100,42,24,,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/8QnJjqHqTp28,Charlie Green,First,James Malcher,4,18,LOST,60,49,134,135,43,40,,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cgF7Vr6hCjGf,Olly Wyatt,Second,Jono Harding,1,26,WON,78,83,43,76,100,85,27,3,6,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cgF7Vr6hCjGf,Jono Harding,First,Olly Wyatt,1,27,LOST,52,26,96,7,40,45,41,41,131,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cgF7Vr6hCjGf,Olly Wyatt,First,Jono Harding,2,30,WON,21,82,60,78,44,45,60,51,44,16,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cgF7Vr6hCjGf,Jono Harding,Second,Olly Wyatt,2,27,LOST,140,41,58,79,41,79,53,7,0,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cgF7Vr6hCjGf,Olly Wyatt,Second,Jono Harding,3,21,LOST,30,25,59,43,59,59,30,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cgF7Vr6hCjGf,Jono Harding,First,Olly Wyatt,3,23,WON,123,92,22,40,80,60,72,12,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cgF7Vr6hCjGf,Olly Wyatt,First,Jono Harding,4,22,WON,59,42,43,76,125,85,31,40,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cgF7Vr6hCjGf,Jono Harding,Second,Olly Wyatt,4,21,LOST,58,59,21,100,180,36,24,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/EapvK4t8bt0d,Kean Evans,Second,James Malcher,1,18,WON,82,134,85,60,69,71,,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/EapvK4t8bt0d,James Malcher,First,Kean Evans,1,18,LOST,41,60,26,100,100,60,,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/EapvK4t8bt0d,Kean Evans,First,James Malcher,2,21,LOST,24,13,22,41,100,64,97,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/EapvK4t8bt0d,James Malcher,Second,Kean Evans,2,20,WON,43,140,100,60,58,24,76,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/EapvK4t8bt0d,Kean Evans,Second,James Malcher,3,18,LOST,100,42,47,60,57,60,,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/EapvK4t8bt0d,James Malcher,First,Kean Evans,3,21,WON,100,60,85,55,77,84,40,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/EapvK4t8bt0d,Kean Evans,First,James Malcher,4,24,LOST,42,100,13,60,36,32,59,89,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/EapvK4t8bt0d,James Malcher,Second,Kean Evans,4,22,WON,60,81,100,115,65,60,0,20,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cHgTBm91efFV,Charlie Green,First,Olly Wyatt,1,20,WON,100,60,60,100,43,64,74,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cHgTBm91efFV,Olly Wyatt,Second,Charlie Green,1,18,LOST,28,45,95,58,85,32,,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cHgTBm91efFV,Charlie Green,Second,Olly Wyatt,2,23,WON,84,100,96,41,100,40,30,10,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cHgTBm91efFV,Olly Wyatt,First,Charlie Green,2,24,LOST,41,44,39,59,58,44,80,0,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cHgTBm91efFV,Charlie Green,First,Olly Wyatt,3,22,WON,42,43,58,140,78,60,60,20,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/cHgTBm91efFV,Olly Wyatt,Second,Charlie Green,3,21,LOST,21,46,26,27,65,85,20,,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/TuYNF79iDyjW,Jono Harding,First,Kean Evans,1,24,LOST,59,36,59,45,77,81,44,60,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/TuYNF79iDyjW,Kean Evans,Second,Jono Harding,1,24,WON,58,20,42,43,100,100,60,78,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/TuYNF79iDyjW,Jono Harding,Second,Kean Evans,2,30,LOST,59,60,26,11,38,44,86,59,94,12,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/TuYNF79iDyjW,Kean Evans,First,Jono Harding,2,32,WON,60,60,60,46,100,87,38,47,0,0,3,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/TuYNF79iDyjW,Jono Harding,First,Kean Evans,3,38,WON,77,77,45,60,80,78,72,0,8,0,0,0,4,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/TuYNF79iDyjW,Kean Evans,Second,Jono Harding,3,36,LOST,81,96,83,59,28,41,44,63,3,1,0,0,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/TuYNF79iDyjW,Jono Harding,Second,Kean Evans,4,24,LOST,45,41,99,46,60,58,60,38,,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/TuYNF79iDyjW,Kean Evans,First,Jono Harding,4,26,WON,100,38,42,43,25,81,100,56,16,,,,,,,
Footscray,,,15/08/2025,Group 1,https://www.dartsatlas.com/matches/OEbcwDaHIlrx,James Malcher,First,Olly Wyatt,1,23,WON,43,121,26,133,44,48,46,40,,,,,,,,
