Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,Tom Riding,First,John Walters,1,18,LOST,45,60,60,140,44,38,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,John Walters,Second,Tom Riding,1,16,WON,83,140,59,140,39,40,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,Tom Riding,Second,John Walters,2,20,WON,180,45,60,55,97,32,32,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,John Walters,First,Tom Riding,2,21,LOST,81,60,59,100,60,43,58,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,Tom Riding,First,John Walters,3,18,LOST,49,81,83,140,81,47,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,John Walters,Second,Tom Riding,3,17,WON,100,87,134,81,40,59,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,Tom Riding,Second,John Walters,4,14,WON,60,180,100,67,94,,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,John Walters,First,Tom Riding,4,15,LOST,44,60,40,58,99,,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,Tom Riding,First,John Walters,5,18,LOST,81,47,28,68,180,77,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,John Walters,Second,Tom Riding,5,16,WON,96,140,99,81,57,28,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,Tom Riding,Second,John Walters,6,13,WON,125,140,100,96,40,,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,John Walters,First,Tom Riding,6,15,LOST,180,97,60,58,36,,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,Tom Riding,First,John Walters,7,21,WON,85,45,96,100,60,59,56,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,John Walters,Second,Tom Riding,7,18,LOST,60,45,41,100,137,78,,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,Tom Riding,Second,John Walters,8,21,WON,81,100,80,66,56,87,31,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,John Walters,First,Tom Riding,8,21,LOST,54,100,100,78,21,78,62,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,Tom Riding,First,John Walters,9,21,WON,38,95,40,140,82,90,16,
Footscray,,,15/08/2025,Final,https://www.dartsatlas.com/matches/LkHvIygVw8i1,John Walters,Second,Tom Riding,9,18,LOST,60,134,41,41,60,59,,
