Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/Oip2EXaNjYnH,Harry Sheridan,Second,Charlie Green,1,21,LOST,11,22,10,60,55,26,45,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/Oip2EXaNjYnH,Charlie Green,First,Harry Sheridan,1,22,WON,140,42,59,96,60,42,54,8,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/Oip2EXaNjYnH,Harry Sheridan,First,Charlie Green,2,36,LOST,100,45,58,73,15,45,32,58,35,0,35,0,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/Oip2EXaNjYnH,Charlie Green,Second,Harry Sheridan,2,34,WON,60,26,140,58,40,27,31,83,30,0,4,2,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/Oip2EXaNjYnH,Harry Sheridan,Second,Charlie Green,3,27,LOST,60,30,36,13,39,40,29,10,39,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/Oip2EXaNjYnH,Charlie Green,First,Harry Sheridan,3,30,WON,96,54,55,26,100,23,77,50,13,7,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/4W9o0Kmqggzt,Rob Message,Second,Connor Merrick,1,27,LOST,45,83,11,85,60,85,60,33,29,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/4W9o0Kmqggzt,Connor Merrick,First,Rob Message,1,28,WON,44,43,60,100,60,41,97,0,36,20,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/4W9o0Kmqggzt,Rob Message,First,Connor Merrick,2,30,WON,60,40,100,100,100,80,16,0,0,5,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/4W9o0Kmqggzt,Connor Merrick,Second,Rob Message,2,27,LOST,100,60,97,60,60,48,52,12,0,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/4W9o0Kmqggzt,Rob Message,Second,Connor Merrick,3,18,LOST,43,95,45,60,45,28,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/4W9o0Kmqggzt,Connor Merrick,First,Rob Message,3,20,WON,97,85,60,59,60,130,10,,,,,,,,,
Hammersmith,,,05-10-2025,Group 1,https://www.dartsatlas.com/matches/4W9o0Kmqggzt,Rob Message,First,Connor Merrick,4,18,LOST,60,81,100,40,60,30,,,,,,,,,,
