Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/u2UzcVKs9yYW,Kirk Deruyter,Second,Charlie Hardie,1,21,WON,28,30,180,90,32,59,82,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/u2UzcVKs9yYW,Charlie Hardie,First,Kirk Deruyter,1,21,LOST,45,60,45,9,125,59,65,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/u2UzcVKs9yYW,Kirk Deruyter,First,Charlie Hardie,2,28,WON,32,125,121,81,110,0,0,0,0,32,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/u2UzcVKs9yYW,Charlie Hardie,Second,Kirk Deruyter,2,27,LOST,33,85,42,60,45,42,41,38,90,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/n9ibZBDEL9DY,Tom Riding,Second,Matthew Leach,1,28,WON,140,60,66,63,26,80,26,20,10,10,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/n9ibZBDEL9DY,Matthew Leach,First,Tom Riding,1,30,LOST,38,30,40,40,30,45,36,60,45,53,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/n9ibZBDEL9DY,Tom Riding,First,Matthew Leach,2,19,WON,59,100,60,100,100,62,20,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/n9ibZBDEL9DY,Matthew Leach,Second,Tom Riding,2,18,LOST,85,21,45,40,45,127,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/HkTntcXoyhqG,Kieran Parsons,Second,Kirk Deruyter,1,18,LOST,100,76,85,100,130,6,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/HkTntcXoyhqG,Kirk Deruyter,First,Kieran Parsons,1,20,WON,134,51,45,90,60,89,32,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/HkTntcXoyhqG,Kieran Parsons,First,Kirk Deruyter,2,19,WON,47,140,44,45,105,80,40,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/HkTntcXoyhqG,Kirk Deruyter,Second,Kieran Parsons,2,18,LOST,80,85,40,100,60,42,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/HkTntcXoyhqG,Kieran Parsons,Second,Kirk Deruyter,3,21,LOST,100,85,60,60,180,0,8,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/HkTntcXoyhqG,Kirk Deruyter,First,Kieran Parsons,3,24,WON,59,60,45,140,83,94,0,20,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/comFSfyeCptG,Charlie Hardie,Second,Tom Riding,1,15,LOST,60,45,100,30,41,,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/comFSfyeCptG,Tom Riding,First,Charlie Hardie,1,17,WON,60,140,41,100,60,100,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/comFSfyeCptG,Charlie Hardie,First,Tom Riding,2,21,LOST,58,81,60,55,75,60,52,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/comFSfyeCptG,Tom Riding,Second,Charlie Hardie,2,20,WON,26,100,100,41,80,98,56,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/nI9kpqS2xV0s,Matthew Leach,Second,Kieran Parsons,1,27,LOST,55,34,100,60,11,37,30,45,59,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/nI9kpqS2xV0s,Kieran Parsons,First,Matthew Leach,1,28,WON,45,85,29,81,85,40,44,40,32,20,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/nI9kpqS2xV0s,Matthew Leach,First,Kieran Parsons,2,27,LOST,51,44,85,60,26,30,66,44,63,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/nI9kpqS2xV0s,Kieran Parsons,Second,Matthew Leach,2,26,WON,60,140,59,36,81,36,31,0,58,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/xpoMSlbbGRGu,Kirk Deruyter,First,Tom Riding,1,18,LOST,28,140,100,40,59,58,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/xpoMSlbbGRGu,Tom Riding,Second,Kirk Deruyter,1,16,WON,60,180,81,43,97,40,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/xpoMSlbbGRGu,Kirk Deruyter,Second,Tom Riding,2,12,LOST,42,30,97,98,,,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/xpoMSlbbGRGu,Tom Riding,First,Kirk Deruyter,2,13,WON,140,140,140,41,40,,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/wCcFdIxziju6,Charlie Hardie,First,Matthew Leach,1,26,WON,40,45,60,60,60,60,60,88,28,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/wCcFdIxziju6,Matthew Leach,Second,Charlie Hardie,1,24,LOST,92,11,30,21,30,100,22,30,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/wCcFdIxziju6,Charlie Hardie,Second,Matthew Leach,2,33,WON,60,43,61,26,55,27,17,45,127,9,31,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/wCcFdIxziju6,Matthew Leach,First,Charlie Hardie,2,33,LOST,11,26,70,22,60,41,60,28,59,29,75,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/hVXqOKrjPLlc,Tom Riding,First,Kieran Parsons,1,17,WON,180,100,27,74,80,40,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/hVXqOKrjPLlc,Kieran Parsons,Second,Tom Riding,1,15,LOST,72,29,100,100,44,,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/hVXqOKrjPLlc,Tom Riding,Second,Kieran Parsons,2,31,WON,100,41,78,100,78,84,13,0,0,3,4,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/hVXqOKrjPLlc,Kieran Parsons,First,Tom Riding,2,33,LOST,45,45,100,100,81,105,15,5,3,0,0,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/7X1BhrIDbZC7,Matthew Leach,Second,Kirk Deruyter,1,18,LOST,98,85,45,26,81,55,,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/7X1BhrIDbZC7,Kirk Deruyter,First,Matthew Leach,1,21,WON,135,36,95,45,138,32,20,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/7X1BhrIDbZC7,Matthew Leach,First,Kirk Deruyter,2,24,LOST,125,28,60,98,15,85,42,24,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/7X1BhrIDbZC7,Kirk Deruyter,Second,Matthew Leach,2,24,WON,80,58,96,100,40,45,42,40,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/dX9DDN2wFjGJ,Kieran Parsons,Second,Charlie Hardie,1,21,WON,100,15,55,85,180,26,40,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/dX9DDN2wFjGJ,Charlie Hardie,First,Kieran Parsons,1,21,LOST,30,45,42,100,25,41,56,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/dX9DDN2wFjGJ,Kieran Parsons,First,Charlie Hardie,2,22,WON,81,60,85,45,60,83,69,18,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 1,https://www.dartsatlas.com/matches/dX9DDN2wFjGJ,Charlie Hardie,Second,Kieran Parsons,2,21,LOST,60,30,100,60,36,30,45,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 2,https://www.dartsatlas.com/matches/UkJVgWaMWVHm,Jaime Message,Second,Charlie Green,1,19,WON,60,140,96,76,59,30,40,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 2,https://www.dartsatlas.com/matches/UkJVgWaMWVHm,Charlie Green,First,Jaime Message,1,21,LOST,60,41,100,100,60,80,40,,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 2,https://www.dartsatlas.com/matches/UkJVgWaMWVHm,Jaime Message,First,Charlie Green,2,24,LOST,41,85,81,140,69,12,53,0,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 2,https://www.dartsatlas.com/matches/UkJVgWaMWVHm,Charlie Green,Second,Jaime Message,2,24,WON,82,60,81,60,100,58,20,40,,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 2,https://www.dartsatlas.com/matches/UkJVgWaMWVHm,Jaime Message,Second,Charlie Green,3,27,LOST,41,47,125,44,45,30,95,19,15,,,,,,,,,,
Hammersmith,,,12-09-2025,Group 2,https://www.dartsatlas.com/matches/UkJVgWaMWVHm,Charlie Green,First,Jaime Message,3,28,WON,39,38,65,26,58,60,60,60,55,40,,,,,,,,,
