Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Tom Riding,Second,Nick Ellis,1,15,LOST,81,60,60,140,60,,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Nick Ellis,First,Tom Riding,1,18,WON,60,140,45,60,140,56,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Tom Riding,First,Nick Ellis,2,18,WON,100,60,80,41,60,160,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Nick Ellis,Second,Tom Riding,2,15,LOST,100,60,100,140,53,,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Tom Riding,Second,Nick Ellis,3,12,LOST,66,140,60,87,,,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Nick Ellis,First,Tom Riding,3,15,WON,140,60,45,180,76,,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Tom Riding,First,Nick Ellis,4,15,LOST,140,100,100,41,41,,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Nick Ellis,Second,Tom Riding,4,14,WON,100,100,180,53,68,,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Tom Riding,Second,Nick Ellis,5,18,LOST,100,100,60,125,60,16,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Nick Ellis,First,Tom Riding,5,20,WON,100,140,26,95,100,20,20,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Tom Riding,First,Nick Ellis,6,17,WON,115,43,83,180,60,20,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Nick Ellis,Second,Tom Riding,6,15,LOST,96,60,140,140,45,,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Tom Riding,Second,Nick Ellis,7,18,LOST,60,140,95,58,39,77,,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Nick Ellis,First,Tom Riding,7,20,WON,100,60,41,45,133,78,44,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Tom Riding,First,Nick Ellis,8,21,LOST,100,95,60,100,122,12,9,,,
Hammersmith,,,12-09-2025,Final,https://www.dartsatlas.com/matches/HBgu3UAf4MDS,Nick Ellis,Second,Tom Riding,8,21,WON,100,100,58,99,62,57,25,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/jlxmGp8UHeph,Tom Riding,First,Connor Merrick,1,19,WON,81,64,100,100,59,57,40,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/jlxmGp8UHeph,Connor Merrick,Second,Tom Riding,1,18,LOST,40,70,58,43,42,118,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/jlxmGp8UHeph,Tom Riding,Second,Connor Merrick,2,20,WON,100,140,77,100,76,0,8,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/jlxmGp8UHeph,Connor Merrick,First,Tom Riding,2,21,LOST,17,39,55,28,60,28,40,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/jlxmGp8UHeph,Tom Riding,First,Connor Merrick,3,16,WON,30,140,100,140,71,20,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/jlxmGp8UHeph,Connor Merrick,Second,Tom Riding,3,15,LOST,41,25,41,28,100,,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/jlxmGp8UHeph,Tom Riding,Second,Connor Merrick,4,18,WON,60,60,140,41,100,100,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/jlxmGp8UHeph,Connor Merrick,First,Tom Riding,4,18,LOST,137,58,55,91,60,78,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/jlxmGp8UHeph,Tom Riding,First,Connor Merrick,5,19,WON,140,45,140,127,9,20,20,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/jlxmGp8UHeph,Connor Merrick,Second,Tom Riding,5,18,LOST,60,58,58,70,55,100,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Nick Ellis,First,Kirk Deruyter,1,24,WON,100,30,100,101,43,71,16,40,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Kirk Deruyter,Second,Nick Ellis,1,21,LOST,125,97,140,29,40,54,12,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Nick Ellis,Second,Kirk Deruyter,2,15,WON,45,140,60,140,116,,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Kirk Deruyter,First,Nick Ellis,2,15,LOST,60,40,135,121,85,,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Nick Ellis,First,Kirk Deruyter,3,17,WON,100,45,180,140,0,36,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Kirk Deruyter,Second,Nick Ellis,3,15,LOST,42,84,85,60,32,,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Nick Ellis,Second,Kirk Deruyter,4,18,LOST,60,55,96,56,64,134,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Kirk Deruyter,First,Nick Ellis,4,21,WON,99,45,85,43,97,80,52,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Nick Ellis,First,Kirk Deruyter,5,18,LOST,41,100,81,57,39,26,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Kirk Deruyter,Second,Nick Ellis,5,16,WON,59,120,60,138,84,40,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Nick Ellis,Second,Kirk Deruyter,6,21,LOST,81,59,57,46,98,92,52,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Kirk Deruyter,First,Nick Ellis,6,23,WON,96,46,59,44,84,83,44,45,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Nick Ellis,First,Kirk Deruyter,7,17,WON,93,60,100,100,56,92,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Kirk Deruyter,Second,Nick Ellis,7,15,LOST,140,58,133,40,120,,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Nick Ellis,Second,Kirk Deruyter,8,12,LOST,140,140,57,95,,,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Kirk Deruyter,First,Nick Ellis,8,15,WON,140,100,100,97,64,,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Nick Ellis,First,Kirk Deruyter,9,17,WON,140,81,100,60,80,40,,,,
Hammersmith,,,12-09-2025,Semi-Final,https://www.dartsatlas.com/matches/bJxKGxSzT21O,Kirk Deruyter,Second,Nick Ellis,9,15,LOST,98,137,134,74,40,,,,,
