Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/FdXOhKJ2tzSX,Kean Evans,First,Charlie Hardie,1,29,WON,86,41,40,120,81,61,10,0,30,32,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/FdXOhKJ2tzSX,Charlie Hardie,Second,Kean Evans,1,27,LOST,41,41,60,100,97,84,21,37,12,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/FdXOhKJ2tzSX,Kean Evans,Second,Charlie Hardie,2,26,WON,65,45,78,47,29,34,60,59,84,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/FdXOhKJ2tzSX,Charlie Hardie,First,Kean Evans,2,27,LOST,121,15,19,22,45,41,77,45,46,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/WKKKr1rhrLGl,Lucas Mole,First,Andrew Shields,1,27,LOST,15,81,28,21,33,52,66,41,41,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/WKKKr1rhrLGl,Andrew Shields,Second,Lucas Mole,1,26,WON,60,60,64,60,59,26,85,55,32,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/WKKKr1rhrLGl,Lucas Mole,Second,Andrew Shields,2,27,LOST,43,28,22,45,46,46,5,85,81,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/WKKKr1rhrLGl,Andrew Shields,First,Lucas Mole,2,28,WON,45,21,55,55,45,41,43,60,104,32,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/KKltgISxmknk,Troy Power,First,Kean Evans,1,38,WON,41,120,59,36,44,95,0,33,33,30,0,5,5,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/KKltgISxmknk,Kean Evans,Second,Troy Power,1,36,LOST,60,60,60,44,31,39,41,44,36,46,20,0,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/KKltgISxmknk,Troy Power,Second,Kean Evans,2,18,LOST,43,45,55,92,139,59,,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/KKltgISxmknk,Kean Evans,First,Troy Power,2,21,WON,61,100,40,60,125,59,56,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/KKltgISxmknk,Troy Power,First,Kean Evans,3,40,WON,51,99,56,41,60,56,38,80,15,3,0,0,0,2,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/KKltgISxmknk,Kean Evans,Second,Troy Power,3,39,LOST,59,43,22,44,57,41,43,100,55,27,0,0,7,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/z3SoUKsmHXS1,Charlie Hardie,First,Lucas Mole,1,18,WON,95,85,55,50,100,116,,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/z3SoUKsmHXS1,Lucas Mole,Second,Charlie Hardie,1,15,LOST,30,2,60,55,21,,,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/z3SoUKsmHXS1,Charlie Hardie,Second,Lucas Mole,2,17,WON,45,133,83,100,82,58,,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/z3SoUKsmHXS1,Lucas Mole,First,Charlie Hardie,2,18,LOST,34,32,52,45,30,23,,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/auCpzxaTS4Ww,Andrew Shields,Second,Troy Power,1,27,LOST,68,40,62,66,19,16,45,26,45,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/auCpzxaTS4Ww,Troy Power,First,Andrew Shields,1,30,WON,99,45,60,58,100,77,30,0,0,32,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/auCpzxaTS4Ww,Andrew Shields,First,Troy Power,2,30,LOST,45,64,26,27,26,81,63,95,34,26,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/auCpzxaTS4Ww,Troy Power,Second,Andrew Shields,2,28,WON,41,140,58,29,81,60,60,0,24,8,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/rhXi7VuRA3xL,Kean Evans,First,Lucas Mole,1,29,WON,40,29,45,60,44,45,43,51,58,86,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/rhXi7VuRA3xL,Lucas Mole,Second,Kean Evans,1,27,LOST,33,41,81,68,22,8,19,30,100,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/rhXi7VuRA3xL,Kean Evans,Second,Lucas Mole,2,32,WON,75,56,85,180,37,28,0,25,3,0,12,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/rhXi7VuRA3xL,Lucas Mole,First,Kean Evans,2,33,LOST,22,30,85,36,46,53,12,7,30,72,85,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/uiNWuDpIAfyb,Charlie Hardie,First,Andrew Shields,1,47,WON,60,30,60,31,45,79,20,28,63,68,9,0,0,6,0,2,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/uiNWuDpIAfyb,Andrew Shields,Second,Charlie Hardie,1,45,LOST,100,26,60,29,45,41,81,17,19,32,46,0,0,0,3,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/uiNWuDpIAfyb,Charlie Hardie,Second,Andrew Shields,2,27,WON,85,85,60,41,140,49,0,25,16,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/uiNWuDpIAfyb,Andrew Shields,First,Charlie Hardie,2,27,LOST,85,45,43,29,36,80,13,44,56,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/NojUkqkfxtoc,Lucas Mole,Second,Troy Power,1,15,LOST,29,37,25,6,37,,,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/NojUkqkfxtoc,Troy Power,First,Lucas Mole,1,17,WON,81,41,140,135,56,48,,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/NojUkqkfxtoc,Lucas Mole,First,Troy Power,2,21,LOST,57,22,28,48,15,40,37,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/NojUkqkfxtoc,Troy Power,Second,Lucas Mole,2,20,WON,60,60,56,100,39,140,46,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/injcEGi5aMWA,Andrew Shields,First,Kean Evans,1,21,LOST,45,60,100,60,85,57,54,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/injcEGi5aMWA,Kean Evans,Second,Andrew Shields,1,21,WON,56,60,26,58,55,180,66,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/injcEGi5aMWA,Andrew Shields,First,Kean Evans,2,24,LOST,11,19,43,60,24,81,24,18,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/injcEGi5aMWA,Kean Evans,Second,Andrew Shields,2,22,WON,86,84,44,55,56,80,60,36,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/XypTuhrPGhZ8,Troy Power,Second,Charlie Hardie,1,19,WON,121,59,42,41,140,58,40,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/XypTuhrPGhZ8,Charlie Hardie,First,Troy Power,1,21,LOST,60,85,100,70,41,45,76,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/XypTuhrPGhZ8,Troy Power,First,Charlie Hardie,2,21,LOST,42,58,51,83,44,44,59,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/XypTuhrPGhZ8,Charlie Hardie,Second,Troy Power,2,20,WON,66,86,80,43,85,67,74,,,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/XypTuhrPGhZ8,Troy Power,Second,Charlie Hardie,3,26,WON,59,58,30,60,96,81,82,26,9,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 1,https://www.dartsatlas.com/matches/XypTuhrPGhZ8,Charlie Hardie,First,Troy Power,3,27,LOST,20,57,22,83,60,22,40,59,32,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 2,https://www.dartsatlas.com/matches/N9cYl0mqkBy1,Harry Sheridan,Second,Wayne Mullooly,1,32,WON,39,9,22,75,52,65,60,88,26,39,26,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 2,https://www.dartsatlas.com/matches/N9cYl0mqkBy1,Wayne Mullooly,First,Harry Sheridan,1,33,LOST,37,41,40,45,61,36,45,140,21,26,0,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 2,https://www.dartsatlas.com/matches/N9cYl0mqkBy1,Harry Sheridan,First,Wayne Mullooly,2,29,WON,39,100,22,30,60,81,87,4,38,40,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 2,https://www.dartsatlas.com/matches/N9cYl0mqkBy1,Wayne Mullooly,Second,Harry Sheridan,2,27,LOST,30,26,45,11,111,36,26,83,40,,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 2,https://www.dartsatlas.com/matches/AnDU1AN95uRK,Edgar Znutins,First,Jaime Message,1,29,WON,100,60,85,45,100,31,60,15,3,2,,,,,,,,,,,
Hammersmith,,,23/08/2025,Group 2,https://www.dartsatlas.com/matches/AnDU1AN95uRK,Jaime Message,Second,Edgar Znutins,1,27,LOST,30,115,28,45,28,65,39,55,17,,,,,,,,,,,,
