Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,John Power,Second,Edgar Znutins,1,21,LOST,45,60,66,81,60,43,80,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,Edgar Znutins,First,John Power,1,23,WON,60,24,82,91,58,60,84,42,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,John Power,First,Edgar Znutins,2,15,LOST,100,60,41,100,80,,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,Edgar Znutins,Second,John Power,2,13,WON,140,60,84,177,40,,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,John Power,Second,Edgar Znutins,3,15,WON,125,140,100,96,40,,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,Edgar Znutins,First,John Power,3,15,LOST,96,44,40,180,54,,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,John Power,First,Edgar Znutins,4,18,LOST,60,45,100,40,180,36,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,Edgar Znutins,Second,John Power,4,18,WON,100,140,55,58,60,88,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,John Power,Second,Edgar Znutins,5,15,LOST,100,60,60,59,40,,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,Edgar Znutins,First,John Power,5,16,WON,100,140,55,96,94,16,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,John Power,First,Edgar Znutins,6,17,WON,95,41,180,140,29,16,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,Edgar Znutins,Second,John Power,6,15,LOST,57,91,100,96,100,,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,John Power,Second,Edgar Znutins,7,15,LOST,60,60,55,140,58,,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,Edgar Znutins,First,John Power,7,18,WON,180,131,98,52,30,10,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,John Power,First,Edgar Znutins,8,20,WON,60,100,100,62,39,80,60,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,Edgar Znutins,Second,John Power,8,18,LOST,82,60,99,100,56,46,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,John Power,Second,Edgar Znutins,9,18,LOST,180,85,100,60,56,0,,,,,
Hammersmith,,,23/08/2025,Final,https://www.dartsatlas.com/matches/wKQ3Twh8GXLD,Edgar Znutins,First,John Power,9,19,WON,60,100,49,98,58,96,40,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/YLxnrIiZ8SJT,John Power,First,Jaime Message,1,13,WON,60,140,180,97,24,,,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/YLxnrIiZ8SJT,Jaime Message,Second,John Power,1,12,LOST,40,22,41,100,,,,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/YLxnrIiZ8SJT,John Power,Second,Jaime Message,2,16,WON,140,68,100,59,94,40,,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/YLxnrIiZ8SJT,Jaime Message,First,John Power,2,18,LOST,85,41,45,40,39,41,,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/YLxnrIiZ8SJT,John Power,First,Jaime Message,3,21,WON,45,100,60,60,100,112,24,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/YLxnrIiZ8SJT,Jaime Message,Second,John Power,3,18,LOST,57,81,140,7,100,60,,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/YLxnrIiZ8SJT,John Power,Second,Jaime Message,4,19,WON,121,45,100,90,45,80,20,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/YLxnrIiZ8SJT,Jaime Message,First,John Power,4,21,LOST,45,45,85,45,41,85,21,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/YLxnrIiZ8SJT,John Power,First,Jaime Message,5,19,WON,30,140,100,59,100,40,32,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/YLxnrIiZ8SJT,Jaime Message,Second,John Power,5,18,LOST,60,26,23,45,43,30,,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Edgar Znutins,Second,Troy Power,1,21,WON,100,57,57,45,140,39,63,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Troy Power,First,Edgar Znutins,1,21,LOST,59,45,56,40,100,58,96,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Edgar Znutins,First,Troy Power,2,26,WON,42,47,40,97,105,41,41,55,33,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Troy Power,Second,Edgar Znutins,2,24,LOST,58,60,59,27,58,76,80,67,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Edgar Znutins,Second,Troy Power,3,15,LOST,100,41,58,56,81,,,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Troy Power,First,Edgar Znutins,3,16,WON,96,94,57,140,94,20,,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Edgar Znutins,First,Troy Power,4,16,WON,100,57,81,99,136,28,,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Troy Power,Second,Edgar Znutins,4,15,LOST,63,44,85,95,57,,,,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Edgar Znutins,Second,Troy Power,5,24,WON,125,29,42,83,58,45,43,76,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Troy Power,First,Edgar Znutins,5,24,LOST,96,45,27,60,30,135,56,36,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Edgar Znutins,First,Troy Power,6,23,WON,40,57,82,29,57,60,136,40,,,
Hammersmith,,,23/08/2025,Semi-Final,https://www.dartsatlas.com/matches/cL2a3irGnpFi,Troy Power,Second,Edgar Znutins,6,21,LOST,60,100,81,85,58,59,30,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/xpLW38UkTnzN,John Power,First,Charlie Hardie,1,22,WON,66,40,95,60,41,99,60,40,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/xpLW38UkTnzN,Charlie Hardie,Second,John Power,1,21,LOST,41,26,33,100,41,140,100,,,,
Hammersmith,,,23/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/xpLW38UkTnzN,John Power,Second,Charlie Hardie,2,20,WON,60,140,95,81,65,40,20,,,,
