Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/WOp6lrwrk0kF,Jono Harding,Second,John Green,1,27,WON,60,60,59,40,58,100,44,43,37,,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/WOp6lrwrk0kF,John Green,First,Jono Harding,1,27,LOST,81,41,81,45,50,83,28,44,32,,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/WOp6lrwrk0kF,Jono Harding,First,John Green,2,48,LOST,26,64,45,24,40,22,17,26,5,45,37,90,20,8,24,0
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/WOp6lrwrk0kF,John Green,Second,Jono Harding,2,46,WON,100,55,58,60,15,45,60,52,36,12,0,4,0,0,0,4
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/WOp6lrwrk0kF,Jono Harding,Second,John Green,3,27,LOST,45,92,65,60,28,45,25,130,7,,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/WOp6lrwrk0kF,John Green,First,Jono Harding,3,30,WON,95,60,41,45,24,40,24,28,100,44,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/nB93WoUm6K81,Edgar Smith-Canham,Second,Paul Tudor,1,15,LOST,54,44,33,48,36,,,,,,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/nB93WoUm6K81,Paul Tudor,First,Edgar Smith-Canham,1,18,WON,64,85,45,125,130,52,,,,,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/nB93WoUm6K81,Edgar Smith-Canham,First,Paul Tudor,2,33,WON,41,40,36,45,57,60,85,59,38,32,8,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/nB93WoUm6K81,Paul Tudor,Second,Edgar Smith-Canham,2,30,LOST,40,45,123,45,41,60,95,12,32,6,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/nB93WoUm6K81,Edgar Smith-Canham,Second,Paul Tudor,3,18,LOST,60,41,81,40,41,100,,,,,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/nB93WoUm6K81,Paul Tudor,First,Edgar Smith-Canham,3,21,WON,45,55,100,85,41,89,86,,,,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/mHJ2mPXupG04,Paul Upfold,Second,Stephen Henry,1,20,WON,85,85,100,60,81,58,32,,,,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/mHJ2mPXupG04,Stephen Henry,First,Paul Upfold,1,21,LOST,15,9,45,21,11,28,25,,,,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/mHJ2mPXupG04,Paul Upfold,First,Stephen Henry,2,28,WON,85,60,44,40,59,99,98,0,12,4,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/mHJ2mPXupG04,Stephen Henry,Second,Paul Upfold,2,27,LOST,47,18,76,18,30,85,34,26,45,,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/45b0UMBXXtVo,Jono Harding,First,Edgar Smith-Canham,1,39,WON,45,3,45,24,22,58,25,26,10,59,42,103,39,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/45b0UMBXXtVo,Edgar Smith-Canham,Second,Jono Harding,1,36,LOST,60,41,50,60,45,85,82,38,20,10,0,6,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/45b0UMBXXtVo,Jono Harding,Second,Edgar Smith-Canham,2,30,LOST,30,36,45,76,64,60,21,21,70,18,,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/45b0UMBXXtVo,Edgar Smith-Canham,First,Jono Harding,2,32,WON,26,85,24,34,45,84,54,59,41,17,32,,,,,
Morden,,,09/03/2025,Group 1,https://www.dartsatlas.com/matches/45b0UMBXXtVo,Jono Harding,First,Edgar Smith-Canham,3,24,LOST,28,26,58,85,43,90,23,25,,,,,,,,
