Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/CCMgMKyvh1kZ,Darryl Pilgrim,First,Dylan Loughnane,1,18,LOST,58,96,97,134,76,30,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/CCMgMKyvh1kZ,Dylan Loughnane,Second,Darryl Pilgrim,1,17,WON,100,140,59,100,50,52,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/CCMgMKyvh1kZ,Darryl Pilgrim,Second,Dylan Loughnane,2,15,WON,137,80,140,92,52,,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/CCMgMKyvh1kZ,Dylan Loughnane,First,Darryl Pilgrim,2,15,LOST,30,60,100,99,30,,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/CCMgMKyvh1kZ,Darryl Pilgrim,First,Dylan Loughnane,3,21,WON,140,42,61,98,60,60,40,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/CCMgMKyvh1kZ,Dylan Loughnane,Second,Darryl Pilgrim,3,18,LOST,100,60,95,41,100,45,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/CCMgMKyvh1kZ,Darryl Pilgrim,Second,Dylan Loughnane,4,20,WON,134,55,98,23,60,81,50,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/CCMgMKyvh1kZ,Dylan Loughnane,First,Darryl Pilgrim,4,21,LOST,26,45,140,95,45,64,61,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/JkjcXhNmZnA7,Dylan Loughnane,Second,Paul Upfold,1,21,LOST,60,100,30,45,100,24,60,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/JkjcXhNmZnA7,Paul Upfold,First,Dylan Loughnane,1,23,WON,39,59,30,45,133,83,92,20,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/JkjcXhNmZnA7,Dylan Loughnane,First,Paul Upfold,2,18,LOST,85,45,60,40,55,41,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/JkjcXhNmZnA7,Paul Upfold,Second,Dylan Loughnane,2,17,WON,54,43,81,139,140,44,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/JkjcXhNmZnA7,Dylan Loughnane,Second,Paul Upfold,3,24,WON,60,55,95,24,140,23,56,48,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/JkjcXhNmZnA7,Paul Upfold,First,Dylan Loughnane,3,24,LOST,100,60,72,45,60,28,60,56,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/JkjcXhNmZnA7,Dylan Loughnane,First,Paul Upfold,4,24,LOST,66,48,23,85,45,60,94,60,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/JkjcXhNmZnA7,Paul Upfold,Second,Dylan Loughnane,4,23,WON,44,31,100,43,83,122,38,40,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/uQCyzFk19Nj9,Paul Upfold,Second,Darryl Pilgrim,1,12,LOST,35,55,60,140,,,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/uQCyzFk19Nj9,Darryl Pilgrim,First,Paul Upfold,1,15,WON,100,180,57,60,104,,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/uQCyzFk19Nj9,Paul Upfold,First,Darryl Pilgrim,2,15,LOST,81,42,43,68,139,,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/uQCyzFk19Nj9,Darryl Pilgrim,Second,Paul Upfold,2,15,WON,100,121,60,100,120,,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/uQCyzFk19Nj9,Paul Upfold,Second,Darryl Pilgrim,3,15,LOST,81,55,43,73,82,,,,,,,,,,,,,
Morden,,,10/08/2025,Group 1,https://www.dartsatlas.com/matches/uQCyzFk19Nj9,Darryl Pilgrim,First,Paul Upfold,3,18,WON,80,60,135,59,142,25,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/a0qaAo8IxIJV,Kev Raynsford,First,Nick Holman,1,21,LOST,140,85,85,159,28,0,2,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/a0qaAo8IxIJV,Nick Holman,Second,Kev Raynsford,1,21,WON,80,140,140,77,32,24,8,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/a0qaAo8IxIJV,Kev Raynsford,Second,Nick Holman,2,16,WON,123,81,45,140,80,32,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/a0qaAo8IxIJV,Nick Holman,First,Kev Raynsford,2,18,LOST,22,100,140,60,38,36,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/a0qaAo8IxIJV,Kev Raynsford,First,Nick Holman,3,17,WON,100,140,80,60,89,32,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/a0qaAo8IxIJV,Nick Holman,Second,Kev Raynsford,3,15,LOST,41,3,65,100,140,,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/a0qaAo8IxIJV,Kev Raynsford,Second,Nick Holman,4,16,WON,135,123,100,111,24,8,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/a0qaAo8IxIJV,Nick Holman,First,Kev Raynsford,4,18,LOST,140,100,60,41,43,57,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/OjeMwMbj7u7E,Nick Holman,First,John Green,1,18,LOST,60,60,100,115,46,60,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/OjeMwMbj7u7E,John Green,Second,Nick Holman,1,18,WON,140,66,100,45,92,58,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/OjeMwMbj7u7E,Nick Holman,Second,John Green,2,19,WON,100,100,60,95,105,33,8,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/OjeMwMbj7u7E,John Green,First,Nick Holman,2,21,LOST,81,45,44,28,77,33,60,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/OjeMwMbj7u7E,Nick Holman,First,John Green,3,28,WON,60,40,41,81,23,81,55,68,36,16,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/OjeMwMbj7u7E,John Green,Second,Nick Holman,3,27,LOST,81,140,60,100,11,47,22,30,8,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/OjeMwMbj7u7E,Nick Holman,Second,John Green,4,24,LOST,43,100,67,22,99,21,17,63,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/OjeMwMbj7u7E,John Green,First,Nick Holman,4,25,WON,22,66,85,21,30,123,58,58,38,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/OjeMwMbj7u7E,Nick Holman,First,John Green,5,21,LOST,60,60,60,100,41,60,100,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/OjeMwMbj7u7E,John Green,Second,Nick Holman,5,20,WON,100,85,30,81,85,80,40,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/z9LbPz8tr5tJ,John Green,Second,Kev Raynsford,1,18,LOST,100,66,3,100,24,41,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/z9LbPz8tr5tJ,Kev Raynsford,First,John Green,1,21,WON,100,45,83,41,100,66,66,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/z9LbPz8tr5tJ,John Green,First,Kev Raynsford,2,15,LOST,85,41,100,30,54,,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/z9LbPz8tr5tJ,Kev Raynsford,Second,John Green,2,15,WON,41,140,60,180,80,,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/z9LbPz8tr5tJ,John Green,Second,Kev Raynsford,3,18,LOST,60,81,45,43,65,85,,,,,,,,,,,,
Morden,,,10/08/2025,Group 2,https://www.dartsatlas.com/matches/z9LbPz8tr5tJ,Kev Raynsford,First,John Green,3,21,WON,100,100,100,65,60,72,4,,,,,,,,,,,
Morden,,,10/08/2025,Group 3,https://www.dartsatlas.com/matches/mciqDqKOQpnZ,Jamie Young,First,Warren Upfold,1,25,WON,93,59,76,97,44,120,6,0,6,,,,,,,,,
Morden,,,10/08/2025,Group 3,https://www.dartsatlas.com/matches/mciqDqKOQpnZ,Warren Upfold,Second,Jamie Young,1,24,LOST,60,60,96,22,29,80,43,38,,,,,,,,,,
