Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Charlie Green,Second,Paul Tudor,1,15,LOST,135,57,129,45,65,,,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Paul Tudor,First,Charlie Green,1,16,WON,140,45,95,60,137,24,,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Charlie Green,First,Paul Tudor,2,19,WON,60,43,60,100,85,133,20,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Paul Tudor,Second,Charlie Green,2,18,LOST,41,78,81,60,45,60,,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Charlie Green,Second,Paul Tudor,3,18,LOST,60,45,46,90,41,40,,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Paul Tudor,First,Charlie Green,3,21,WON,100,60,98,59,45,59,80,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Charlie Green,First,Paul Tudor,4,21,WON,140,60,36,24,43,140,58,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Paul Tudor,Second,Charlie Green,4,18,LOST,60,60,140,140,49,32,,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Charlie Green,Second,Paul Tudor,5,23,WON,80,48,58,46,59,97,81,32,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Paul Tudor,First,Charlie Green,5,24,LOST,60,100,100,24,57,11,47,30,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Charlie Green,First,Paul Tudor,6,20,WON,100,60,86,60,45,134,16,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Paul Tudor,Second,Charlie Green,6,18,LOST,60,26,28,100,57,70,,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Charlie Green,Second,Paul Tudor,7,18,WON,96,58,140,71,60,76,,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Paul Tudor,First,Charlie Green,7,18,LOST,45,100,93,87,41,55,,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Charlie Green,First,Paul Tudor,8,21,LOST,60,60,96,100,140,35,0,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Paul Tudor,Second,Charlie Green,8,20,WON,96,96,47,58,100,82,22,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Charlie Green,Second,Paul Tudor,9,15,LOST,59,62,100,41,55,,,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Paul Tudor,First,Charlie Green,9,18,WON,100,95,85,100,57,64,,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Charlie Green,First,Paul Tudor,10,21,WON,134,97,44,96,82,8,40,,,,,,
Morden,,,10/08/2025,Final,https://www.dartsatlas.com/matches/uzwyKIz77BYJ,Paul Tudor,Second,Charlie Green,10,18,LOST,100,60,45,121,49,74,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Darryl Pilgrim,Second,Charlie Green,1,20,WON,72,121,109,47,94,18,40,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Charlie Green,First,Darryl Pilgrim,1,21,LOST,60,46,59,66,60,58,22,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Darryl Pilgrim,First,Charlie Green,2,12,LOST,134,60,100,95,,,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Charlie Green,Second,Darryl Pilgrim,2,11,WON,180,180,55,86,,,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Darryl Pilgrim,Second,Charlie Green,3,15,LOST,115,58,41,60,57,,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Charlie Green,First,Darryl Pilgrim,3,16,WON,60,140,55,82,132,32,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Darryl Pilgrim,First,Charlie Green,4,21,LOST,100,135,48,58,140,15,3,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Charlie Green,Second,Darryl Pilgrim,4,19,WON,85,43,140,51,100,62,20,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Darryl Pilgrim,Second,Charlie Green,5,18,LOST,59,85,125,62,105,25,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Charlie Green,First,Darryl Pilgrim,5,20,WON,84,81,85,84,95,40,32,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Darryl Pilgrim,First,Charlie Green,6,16,WON,100,100,100,100,85,16,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Charlie Green,Second,Darryl Pilgrim,6,15,LOST,59,95,61,41,60,,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Darryl Pilgrim,Second,Charlie Green,7,16,WON,96,93,137,100,35,40,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Charlie Green,First,Darryl Pilgrim,7,18,LOST,140,55,27,43,60,100,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Darryl Pilgrim,First,Charlie Green,8,18,WON,137,60,120,56,58,70,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Charlie Green,Second,Darryl Pilgrim,8,15,LOST,59,60,30,58,44,,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Darryl Pilgrim,Second,Charlie Green,9,18,LOST,96,137,80,134,34,15,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/FDSYBoWdVrM1,Charlie Green,First,Darryl Pilgrim,9,19,WON,45,134,100,140,70,0,12,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/637pNJvDc3Jm,Paul Tudor,First,Steve Henry,1,23,WON,60,85,100,100,138,0,0,18,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/637pNJvDc3Jm,Steve Henry,Second,Paul Tudor,1,21,LOST,59,41,95,46,84,85,43,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/637pNJvDc3Jm,Paul Tudor,Second,Steve Henry,2,14,WON,125,140,140,56,40,,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/637pNJvDc3Jm,Steve Henry,First,Paul Tudor,2,15,LOST,71,43,33,43,95,,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/637pNJvDc3Jm,Paul Tudor,First,Steve Henry,3,21,WON,81,45,60,100,140,40,35,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/637pNJvDc3Jm,Steve Henry,Second,Paul Tudor,3,18,LOST,99,45,57,121,99,41,,,,,,,
Morden,,,10/08/2025,Semi-Final,https://www.dartsatlas.com/matches/637pNJvDc3Jm,Paul Tudor,Second,Steve Henry,4,21,WON,100,100,60,62,97,42,40,,,,,,
