Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/hibmuPyfbeTJ,Bobby Harwood,Second,Dylan Loughnane,1,27,LOST,43,30,41,81,45,60,140,0,41,,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/hibmuPyfbeTJ,Dylan Loughnane,First,Bobby Harwood,1,29,WON,41,45,40,60,55,83,30,32,99,16,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/hibmuPyfbeTJ,Bobby Harwood,First,Dylan Loughnane,2,30,LOST,27,45,45,60,43,85,85,50,21,0,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/hibmuPyfbeTJ,Dylan Loughnane,Second,Bobby Harwood,2,28,WON,26,100,29,45,9,65,47,40,100,40,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/2pSZbZaK44id,Charlie Hardie,Second,John Green,1,24,WON,99,60,100,60,33,41,56,52,,,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/2pSZbZaK44id,John Green,First,Charlie Hardie,1,24,LOST,83,26,100,7,45,26,100,98,,,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/2pSZbZaK44id,Charlie Hardie,First,John Green,2,26,WON,24,47,66,78,60,82,98,26,20,,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/2pSZbZaK44id,John Green,Second,Charlie Hardie,2,24,LOST,26,140,43,100,60,68,32,24,,,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/vxrkfPo0O4aJ,Paul Tudor,Second,Ryan Smith,1,17,WON,140,140,45,140,0,36,,,,,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/vxrkfPo0O4aJ,Ryan Smith,First,Paul Tudor,1,18,LOST,81,58,43,60,40,44,,,,,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/vxrkfPo0O4aJ,Paul Tudor,First,Ryan Smith,2,29,WON,30,60,100,140,97,42,20,0,0,12,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/vxrkfPo0O4aJ,Ryan Smith,Second,Paul Tudor,2,27,LOST,48,52,25,60,55,46,60,47,76,,,,,,
Morden,,,13/04/2025,Group 1,https://www.dartsatlas.com/matches/gr5dqsBMutKs,Bobby Harwood,First,Charlie Hardie,1,24,LOST,41,40,41,100,80,59,42,58,,,,,,,
