Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Kurtis Atkins,Second,Nick Ellis,1,15,LOST,43,98,41,48,57,,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Nick Ellis,First,Kurtis Atkins,1,18,WON,135,100,90,54,66,56,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Kurtis Atkins,First,Nick Ellis,2,21,LOST,100,44,58,59,60,100,70,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Nick Ellis,Second,Kurtis Atkins,2,19,WON,45,121,40,140,57,66,32,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Kurtis Atkins,Second,Nick Ellis,3,15,LOST,81,100,84,89,41,,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Nick Ellis,First,Kurtis Atkins,3,16,WON,100,60,100,96,133,12,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Kurtis Atkins,First,Nick Ellis,4,18,LOST,100,57,40,51,7,140,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Nick Ellis,Second,Kurtis Atkins,4,17,WON,93,60,140,58,94,56,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Kurtis Atkins,Second,Nick Ellis,5,15,LOST,100,96,65,82,86,,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Nick Ellis,First,Kurtis Atkins,5,18,WON,97,140,60,95,85,24,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Kurtis Atkins,First,Nick Ellis,6,12,WON,121,140,140,100,,,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Nick Ellis,Second,Kurtis Atkins,6,9,LOST,140,60,91,,,,,,,,
Morden,,,13/04/2025,Final,https://www.dartsatlas.com/matches/IVs9g5XpLCD9,Kurtis Atkins,Second,Nick Ellis,7,22,WON,100,57,140,30,48,101,3,22,,,
