Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,James Willcox,Second,Oscar King,1,21,LOST,58,96,42,95,21,25,57,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,Oscar King,First,James Willcox,1,22,WON,60,60,27,45,95,60,134,20,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,James Willcox,First,Oscar King,2,21,WON,60,28,45,48,123,41,156,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,Oscar King,Second,James Willcox,2,18,LOST,45,85,58,60,99,58,,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,James Willcox,Second,Oscar King,3,18,LOST,13,81,28,140,125,82,,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,Oscar King,First,James Willcox,3,19,WON,76,125,60,45,95,80,20,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,James Willcox,First,Oscar King,4,19,WON,96,140,60,60,68,37,40,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,Oscar King,Second,James Willcox,4,18,LOST,75,30,39,140,140,46,,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,James Willcox,Second,Oscar King,5,18,LOST,31,24,100,121,58,47,,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,Oscar King,First,James Willcox,5,21,WON,41,55,60,45,100,140,60,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,James Willcox,First,Oscar King,6,21,WON,96,100,58,60,95,44,48,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,Oscar King,Second,James Willcox,6,18,LOST,45,100,58,100,44,31,,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,James Willcox,Second,Oscar King,7,18,LOST,100,45,140,47,41,112,,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,Oscar King,First,James Willcox,7,20,WON,100,66,58,47,135,63,32,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,James Willcox,First,Oscar King,8,18,WON,140,82,40,100,59,80,,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,Oscar King,Second,James Willcox,8,15,LOST,26,60,40,140,180,,,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,James Willcox,Second,Oscar King,9,18,WON,100,81,81,134,65,40,,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,Oscar King,First,James Willcox,9,18,LOST,42,100,95,82,140,26,,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,James Willcox,First,Oscar King,10,19,WON,121,40,41,83,100,108,8,,,
Morden,,,18/07/2025,Final,https://www.dartsatlas.com/matches/WloItD2sX4Ka,Oscar King,Second,James Willcox,10,18,LOST,92,81,30,85,43,82,,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,Paul Upfold,Second,James Willcox,1,21,LOST,45,100,50,45,28,59,60,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,James Willcox,First,Paul Upfold,1,24,WON,54,100,85,58,77,91,18,18,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,Paul Upfold,First,James Willcox,2,24,LOST,52,40,43,140,15,44,89,42,,
