Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Shane Edwards,First,Nick Ellis,1,18,LOST,85,84,39,43,58,100,,,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Nick Ellis,Second,Shane Edwards,1,16,WON,81,46,140,134,84,16,,,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Shane Edwards,Second,Nick Ellis,2,21,LOST,57,42,60,60,100,60,82,,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Nick Ellis,First,Shane Edwards,2,23,WON,140,60,121,100,48,16,8,8,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Shane Edwards,First,Nick Ellis,3,15,LOST,60,100,122,26,79,,,,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Nick Ellis,Second,Shane Edwards,3,15,WON,140,60,140,136,25,,,,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Shane Edwards,Second,Nick Ellis,4,24,WON,140,91,81,59,105,17,4,4,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Nick Ellis,First,Shane Edwards,4,24,LOST,43,46,42,140,98,125,3,0,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Shane Edwards,First,Nick Ellis,5,21,LOST,91,45,100,98,93,43,11,,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Nick Ellis,Second,Shane Edwards,5,21,WON,81,42,60,134,100,66,18,,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Shane Edwards,Second,Nick Ellis,6,15,LOST,57,140,83,21,100,,,,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Nick Ellis,First,Shane Edwards,6,16,WON,85,100,134,100,62,20,,,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Shane Edwards,First,Nick Ellis,7,24,LOST,131,30,121,55,45,94,9,0,
Morden,,,24/05/2025,Final,https://www.dartsatlas.com/matches/aWhLbLmgb0Hw,Nick Ellis,Second,Shane Edwards,7,24,WON,81,60,100,140,80,20,12,8,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Shane Edwards,Second,Steven Ferguson,1,19,WON,180,93,45,59,84,30,10,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Steven Ferguson,First,Shane Edwards,1,21,LOST,80,41,45,58,44,43,125,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Shane Edwards,First,Steven Ferguson,2,16,WON,57,100,125,139,72,8,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Steven Ferguson,Second,Shane Edwards,2,15,LOST,57,58,41,45,22,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Shane Edwards,Second,Steven Ferguson,3,18,LOST,140,83,35,81,72,59,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Steven Ferguson,First,Shane Edwards,3,21,WON,98,123,45,125,78,8,24,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Shane Edwards,First,Steven Ferguson,4,24,LOST,29,95,23,44,60,40,60,78,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Steven Ferguson,Second,Shane Edwards,4,22,WON,43,60,78,85,41,77,93,24,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Shane Edwards,Second,Steven Ferguson,5,14,WON,134,180,95,40,52,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Steven Ferguson,First,Shane Edwards,5,15,LOST,46,58,40,58,43,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Shane Edwards,First,Steven Ferguson,6,24,LOST,30,81,45,96,100,44,39,62,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Steven Ferguson,Second,Shane Edwards,6,24,WON,123,96,66,49,99,28,20,20,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Shane Edwards,Second,Steven Ferguson,7,18,LOST,57,60,64,60,81,87,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Steven Ferguson,First,Shane Edwards,7,20,WON,85,41,59,140,60,26,90,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Shane Edwards,First,Steven Ferguson,8,17,WON,100,96,131,80,40,54,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Steven Ferguson,Second,Shane Edwards,8,15,LOST,22,60,58,95,134,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Shane Edwards,Second,Steven Ferguson,9,13,WON,57,94,140,174,36,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/L46nVw9ArjJ4,Steven Ferguson,First,Shane Edwards,9,15,LOST,134,41,59,85,42,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Nick Ellis,Second,Darryl Pilgrim,1,18,LOST,100,43,45,45,101,99,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Darryl Pilgrim,First,Nick Ellis,1,19,WON,65,100,56,120,100,40,20,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Nick Ellis,First,Darryl Pilgrim,2,21,LOST,140,60,45,60,81,87,14,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Darryl Pilgrim,Second,Nick Ellis,2,21,WON,100,55,59,90,96,60,41,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Nick Ellis,Second,Darryl Pilgrim,3,15,WON,55,100,100,140,106,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Darryl Pilgrim,First,Nick Ellis,3,15,LOST,60,96,95,94,100,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Nick Ellis,First,Darryl Pilgrim,4,15,WON,83,100,140,132,46,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Darryl Pilgrim,Second,Nick Ellis,4,12,LOST,140,100,55,138,,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Nick Ellis,Second,Darryl Pilgrim,5,12,LOST,60,100,93,56,,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Darryl Pilgrim,First,Nick Ellis,5,15,WON,140,100,100,129,32,,,,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Nick Ellis,First,Darryl Pilgrim,6,25,WON,97,140,100,100,32,0,0,24,8
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Darryl Pilgrim,Second,Nick Ellis,6,24,LOST,140,44,58,40,59,60,60,20,
Morden,,,24/05/2025,Semi-Final,https://www.dartsatlas.com/matches/vBAMfY8sxaHV,Nick Ellis,Second,Darryl Pilgrim,7,15,WON,180,100,100,57,64,,,,
