Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/yajPj76W44sE,Kieran Parsons,Second,Tyla Samson,1,24,WON,58,45,60,60,45,66,83,84,,,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/yajPj76W44sE,Tyla Samson,First,Kieran Parsons,1,24,LOST,41,81,140,58,97,44,35,1,,,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/yajPj76W44sE,Kieran Parsons,First,Tyla Samson,2,16,WON,100,125,60,140,56,20,,,,,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/yajPj76W44sE,Tyla Samson,Second,Kieran Parsons,2,15,LOST,21,81,81,121,52,,,,,,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/myXkHOLHVk0v,Connor Merrick,Second,George Bamber,1,21,LOST,100,100,59,60,38,41,29,,,,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/myXkHOLHVk0v,George Bamber,First,Connor Merrick,1,22,WON,58,36,24,180,42,56,65,40,,,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/myXkHOLHVk0v,Connor Merrick,First,George Bamber,2,27,LOST,26,41,36,100,58,43,30,41,84,,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/myXkHOLHVk0v,George Bamber,Second,Connor Merrick,2,25,WON,41,140,55,57,38,92,19,39,20,,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/IaXFkIiHpvwG,Charlie Hardie,Second,Alfie Burnett,1,43,WON,71,59,85,26,23,57,26,27,37,38,14,22,0,0,16
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/IaXFkIiHpvwG,Alfie Burnett,First,Charlie Hardie,1,45,LOST,45,41,72,55,60,41,41,17,28,42,30,15,0,7,0
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/IaXFkIiHpvwG,Charlie Hardie,First,Alfie Burnett,2,31,WON,39,85,50,49,123,8,95,0,0,12,40,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/IaXFkIiHpvwG,Alfie Burnett,Second,Charlie Hardie,2,30,LOST,65,40,43,85,19,45,100,82,0,11,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/quXHGXmaNMmI,Kieran Parsons,First,Connor Merrick,1,19,WON,60,45,100,60,121,99,16,,,,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/quXHGXmaNMmI,Connor Merrick,Second,Kieran Parsons,1,18,LOST,121,85,60,50,50,55,,,,,,,,,
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/quXHGXmaNMmI,Kieran Parsons,Second,Connor Merrick,2,44,WON,62,41,41,85,100,26,100,26,10,0,5,0,0,1,4
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/quXHGXmaNMmI,Connor Merrick,First,Kieran Parsons,2,45,LOST,43,85,7,45,41,60,81,59,40,30,5,1,0,0,0
Moretown,,,03-10-2025,Group 1,https://www.dartsatlas.com/matches/HDIoQajxRsEJ,Tyla Samson,First,Alfie Burnett,1,27,WON,100,100,96,58,42,37,44,12,12,,,,,,
