Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/PwsHDACPOzTj,Brad Canning,Second,Liam Elliott,1,21,LOST,30,60,25,40,121,85,68,,,,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/PwsHDACPOzTj,Liam Elliott,First,Brad Canning,1,24,WON,41,81,45,46,98,60,125,5,,,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/PwsHDACPOzTj,Brad Canning,First,Liam Elliott,2,33,WON,37,140,100,60,30,77,43,11,0,0,3,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/PwsHDACPOzTj,Liam Elliott,Second,Brad Canning,2,30,LOST,99,70,40,125,78,69,0,10,0,8,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/PwsHDACPOzTj,Brad Canning,Second,Liam Elliott,3,27,LOST,60,40,81,59,36,45,17,28,67,,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/PwsHDACPOzTj,Liam Elliott,First,Brad Canning,3,30,WON,41,135,43,120,45,57,40,6,0,14,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/RMJaAxPLeu9I,Teddie Stanford,Second,Edgar Znutins,1,18,LOST,10,33,56,6,25,25,,,,,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/RMJaAxPLeu9I,Edgar Znutins,First,Teddie Stanford,1,21,WON,46,59,140,45,57,134,20,,,,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/RMJaAxPLeu9I,Teddie Stanford,First,Edgar Znutins,2,21,LOST,27,25,76,25,48,22,63,,,,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/RMJaAxPLeu9I,Edgar Znutins,Second,Teddie Stanford,2,20,WON,77,40,42,97,99,78,68,,,,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/Vzx8JxVbzpaH,Harry Sheridan,First,Brad Canning,1,33,LOST,59,60,54,11,18,41,28,45,55,40,74,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/Vzx8JxVbzpaH,Brad Canning,Second,Harry Sheridan,1,32,WON,100,83,45,15,30,30,60,36,65,0,37,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/Vzx8JxVbzpaH,Harry Sheridan,Second,Brad Canning,2,24,LOST,60,140,52,77,54,24,30,44,,,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/Vzx8JxVbzpaH,Brad Canning,First,Harry Sheridan,2,26,WON,85,41,45,40,46,60,84,65,35,,,,,,,
Moretown,,,05-09-2025,Group 1,https://www.dartsatlas.com/matches/Y6WihtDpDgf8,Liam Elliott,First,Teddie Stanford,1,22,WON,36,60,54,60,140,93,18,40,,,,,,,,
