Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Edgar Znutins,Second,Tom Riding,1,21,LOST,41,59,58,26,85,65,78,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Tom Riding,First,Edgar Znutins,1,22,WON,33,119,24,60,71,83,75,36,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Edgar Znutins,First,Tom Riding,2,15,LOST,85,48,58,85,83,,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Tom Riding,Second,Edgar Znutins,2,15,WON,100,23,140,140,98,,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Edgar Znutins,Second,Tom Riding,3,12,LOST,93,58,95,84,,,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Tom Riding,First,Edgar Znutins,3,13,WON,121,96,140,140,4,,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Edgar Znutins,First,Tom Riding,4,18,LOST,60,60,57,77,85,58,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Tom Riding,Second,Edgar Znutins,4,18,WON,100,85,81,100,69,66,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Edgar Znutins,Second,Tom Riding,5,15,LOST,100,140,60,30,97,,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Tom Riding,First,Edgar Znutins,5,17,WON,60,140,100,81,100,20,,,,
Moretown,,,05-09-2025,Final,https://www.dartsatlas.com/matches/1P239CJjSLTq,Edgar Znutins,First,Tom Riding,6,18,WON,100,45,100,46,100,110,,,,
