Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/TyaEJB7SOqLu,Jacob Gear,Second,Shane Edwards,1,19,WON,82,60,85,85,100,59,30,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/TyaEJB7SOqLu,Shane Edwards,First,Jacob Gear,1,21,LOST,66,180,43,85,83,28,0,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/TyaEJB7SOqLu,Jacob Gear,First,Shane Edwards,2,21,WON,60,85,59,100,30,82,85,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/TyaEJB7SOqLu,Shane Edwards,Second,Jacob Gear,2,18,LOST,180,42,137,54,52,22,,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/R8IjOs3ctk30,Liam Elliott,First,Paul Upfold,1,30,LOST,41,90,28,31,27,51,41,80,56,20,,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/R8IjOs3ctk30,Paul Upfold,Second,Liam Elliott,1,28,WON,30,100,27,43,34,44,54,43,86,40,,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/R8IjOs3ctk30,Liam Elliott,Second,Paul Upfold,2,31,WON,36,40,42,23,66,30,58,96,42,48,20,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/R8IjOs3ctk30,Paul Upfold,First,Liam Elliott,2,33,LOST,41,44,81,54,29,60,15,99,21,47,0,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/R8IjOs3ctk30,Liam Elliott,First,Paul Upfold,3,30,WON,43,58,50,58,25,57,59,37,54,60,,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/R8IjOs3ctk30,Paul Upfold,Second,Liam Elliott,3,27,LOST,55,43,44,57,57,25,44,91,45,,,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/pOt1Xhj9NIp8,Stephen Henry,Second,Jacob Gear,1,36,LOST,100,45,40,30,43,25,80,59,59,16,2,0,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/pOt1Xhj9NIp8,Jacob Gear,First,Stephen Henry,1,38,WON,45,121,59,60,41,40,59,68,0,0,0,0,8,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/pOt1Xhj9NIp8,Stephen Henry,First,Jacob Gear,2,21,LOST,61,30,60,45,45,45,80,,,,,,,,,,,,,
Redhill,,,02/05/2025,Group 1,https://www.dartsatlas.com/matches/pOt1Xhj9NIp8,Jacob Gear,Second,Stephen Henry,2,19,WON,100,61,56,58,140,70,16,,,,,,,,,,,,,
