Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,James Willcox,Second,Darryl Pilgrim,1,12,LOST,41,42,87,60,,,,,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,Darryl Pilgrim,First,James Willcox,1,15,WON,100,140,60,105,96,,,,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,James Willcox,First,Darryl Pilgrim,2,26,WON,41,23,42,100,80,121,19,35,40,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,Darryl Pilgrim,Second,James Willcox,2,24,LOST,134,41,58,53,96,99,0,15,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,James Willcox,Second,Darryl Pilgrim,3,18,LOST,42,39,24,100,60,37,,,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,Darryl Pilgrim,First,James Willcox,3,21,WON,120,85,140,134,0,14,8,,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,James Willcox,First,Darryl Pilgrim,4,15,LOST,58,79,84,81,59,,,,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,Darryl Pilgrim,Second,James Willcox,4,13,WON,100,134,131,96,40,,,,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,James Willcox,Second,Darryl Pilgrim,5,12,LOST,59,124,99,59,,,,,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,Darryl Pilgrim,First,James Willcox,5,14,WON,100,140,123,80,58,,,,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,James Willcox,First,Darryl Pilgrim,6,15,LOST,60,140,97,46,96,,,,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,Darryl Pilgrim,Second,James Willcox,6,14,WON,180,100,57,139,25,,,,,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,James Willcox,Second,Darryl Pilgrim,7,27,LOST,41,58,28,24,45,57,121,78,17,,
Redhill,,,02/05/2025,Final,https://www.dartsatlas.com/matches/k1opkB1b76Os,Darryl Pilgrim,First,James Willcox,7,30,WON,100,40,140,60,21,42,58,30,0,10,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,Jacob Gear,Second,James Willcox,1,24,WON,56,60,60,60,43,55,97,70,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,James Willcox,First,Jacob Gear,1,24,LOST,140,91,100,85,53,16,0,0,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,Jacob Gear,First,James Willcox,2,23,WON,82,100,58,96,65,86,0,14,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,James Willcox,Second,Jacob Gear,2,21,LOST,42,180,133,81,59,0,0,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,Jacob Gear,Second,James Willcox,3,18,LOST,47,60,60,85,58,60,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,James Willcox,First,Jacob Gear,3,20,WON,64,100,26,96,177,10,28,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,Jacob Gear,First,James Willcox,4,24,LOST,100,45,140,42,30,40,54,18,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,James Willcox,Second,Jacob Gear,4,23,WON,100,60,119,58,38,39,62,25,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,Jacob Gear,Second,James Willcox,5,20,WON,180,44,45,60,58,74,40,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,James Willcox,First,Jacob Gear,5,21,LOST,140,82,42,121,60,36,0,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/4zf4CnNJ1RTf,Jacob Gear,First,James Willcox,6,14,WON,180,125,97,51,48,,,,,,
