Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/9M04ul3uSlho,Paul Upfold,Second,Steve Henry,1,23,WON,55,81,85,100,32,132,0,16,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/9M04ul3uSlho,Steve Henry,First,Paul Upfold,1,24,LOST,99,32,26,19,21,133,57,94,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/9M04ul3uSlho,Paul Upfold,First,Steve Henry,2,27,LOST,66,34,37,85,80,39,44,34,48,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/9M04ul3uSlho,Steve Henry,Second,Paul Upfold,2,26,WON,26,81,41,47,95,86,41,52,32,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/9M04ul3uSlho,Paul Upfold,Second,Steve Henry,3,15,WON,140,140,40,100,81,,,,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/9M04ul3uSlho,Steve Henry,First,Paul Upfold,3,15,LOST,57,136,43,95,42,,,,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/P1JMxwWNwbK2,Charlie Hardie,Second,John Green,1,26,WON,55,100,45,2,95,80,94,22,8,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/P1JMxwWNwbK2,John Green,First,Charlie Hardie,1,27,LOST,100,100,60,60,41,82,38,0,10,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/P1JMxwWNwbK2,Charlie Hardie,First,John Green,2,27,WON,81,40,100,41,59,40,92,36,12,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/P1JMxwWNwbK2,John Green,Second,Charlie Hardie,2,24,LOST,45,100,45,100,24,60,91,18,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/NAmSFsUYsKig,Charlie Green,First,Jono Harding,1,21,WON,60,96,100,59,60,54,72,,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/NAmSFsUYsKig,Jono Harding,Second,Charlie Green,1,18,LOST,40,5,85,41,70,81,,,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/NAmSFsUYsKig,Charlie Green,Second,Jono Harding,2,16,WON,98,97,129,59,80,38,,,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/NAmSFsUYsKig,Jono Harding,First,Charlie Green,2,18,LOST,85,9,100,60,41,24,,,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/mKhE7mhZVjy2,Paul Upfold,First,Charlie Hardie,1,15,LOST,27,100,40,96,100,,,,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/mKhE7mhZVjy2,Charlie Hardie,Second,Paul Upfold,1,15,WON,100,60,140,100,101,,,,,,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/mKhE7mhZVjy2,Paul Upfold,Second,Charlie Hardie,2,28,WON,85,81,60,95,95,49,28,0,0,8,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/mKhE7mhZVjy2,Charlie Hardie,First,Paul Upfold,2,30,LOST,100,81,25,43,54,44,46,13,38,41,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/mKhE7mhZVjy2,Paul Upfold,First,Charlie Hardie,3,31,WON,82,36,100,23,40,30,54,54,38,24,20,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/mKhE7mhZVjy2,Charlie Hardie,Second,Paul Upfold,3,30,LOST,66,41,28,95,45,56,40,78,20,24,,,,,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/f502amaJRSQD,Steve Henry,First,Jono Harding,1,42,WON,97,54,100,67,75,19,21,28,35,0,1,0,0,4,,
Redhill,,,04/07/2025,Group 1,https://www.dartsatlas.com/matches/f502amaJRSQD,Jono Harding,Second,Steve Henry,1,39,LOST,26,43,60,85,58,100,41,60,21,5,0,0,0,,,
