Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,Charlie Green,Second,John Power,1,15,LOST,58,58,97,45,95,,,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,John Power,First,Charlie Green,1,18,WON,180,123,60,114,12,12,,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,Charlie Green,First,John Power,2,21,LOST,76,96,58,57,96,44,14,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,John Power,Second,Charlie Green,2,19,WON,60,140,45,83,97,58,18,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,Charlie Green,Second,John Power,3,18,LOST,60,41,60,180,100,46,,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,John Power,First,Charlie Green,3,20,WON,100,30,41,100,100,105,25,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,Charlie Green,First,John Power,4,20,WON,96,58,80,140,55,66,6,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,John Power,Second,Charlie Green,4,18,LOST,100,140,83,82,40,38,,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,Charlie Green,Second,John Power,5,18,LOST,26,125,33,97,81,39,,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,John Power,First,Charlie Green,5,20,WON,95,60,140,100,74,0,32,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,Charlie Green,First,John Power,6,21,LOST,134,100,60,59,92,16,20,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,John Power,Second,Charlie Green,6,19,WON,41,83,123,100,39,75,40,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,Charlie Green,Second,John Power,7,12,LOST,81,96,93,100,,,,,,,,,
Redhill,,,04/07/2025,Final,https://www.dartsatlas.com/matches/pW6FEeZoE7lt,John Power,First,Charlie Green,7,15,WON,81,81,140,117,82,,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Charlie Green,Second,Craig Cross,1,21,WON,100,70,96,59,41,63,72,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Craig Cross,First,Charlie Green,1,21,LOST,82,180,44,34,45,56,20,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Charlie Green,First,Craig Cross,2,27,LOST,45,58,59,83,140,60,36,16,0,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Craig Cross,Second,Charlie Green,2,25,WON,82,59,100,60,44,100,24,0,32,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Charlie Green,Second,Craig Cross,3,15,LOST,41,41,60,49,66,,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Craig Cross,First,Charlie Green,3,16,WON,100,41,97,137,86,40,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Charlie Green,First,Craig Cross,4,21,WON,100,43,58,97,47,41,115,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Craig Cross,Second,Charlie Green,4,18,LOST,82,43,81,59,42,59,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Charlie Green,Second,Craig Cross,5,18,WON,59,80,100,84,100,78,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Craig Cross,First,Charlie Green,5,18,LOST,100,17,60,85,53,44,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Charlie Green,First,Craig Cross,6,24,WON,22,40,42,57,60,140,100,40,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Craig Cross,Second,Charlie Green,6,21,LOST,59,99,85,60,55,57,61,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Charlie Green,Second,Craig Cross,7,21,LOST,47,60,58,100,78,98,20,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Craig Cross,First,Charlie Green,7,23,WON,44,55,140,45,30,24,131,32,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Charlie Green,First,Craig Cross,8,18,LOST,121,24,30,28,60,74,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Craig Cross,Second,Charlie Green,8,17,WON,50,180,59,100,80,32,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Charlie Green,Second,Craig Cross,9,26,WON,60,60,60,60,41,60,125,19,16,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/2OloKDPSyBzs,Craig Cross,First,Charlie Green,9,27,LOST,53,47,92,125,96,84,0,2,0,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,Kian Dominguez,First,John Power,1,21,WON,44,83,58,41,99,95,81,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,John Power,Second,Kian Dominguez,1,18,LOST,140,83,60,100,78,0,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,Kian Dominguez,Second,John Power,2,21,LOST,60,60,80,30,57,81,40,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,John Power,First,Kian Dominguez,2,22,WON,60,100,68,43,85,100,37,8,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,Kian Dominguez,First,John Power,3,18,LOST,100,100,60,44,95,40,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,John Power,Second,Kian Dominguez,3,17,WON,100,140,46,63,100,52,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,Kian Dominguez,Second,John Power,4,21,LOST,60,46,25,100,40,42,46,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,John Power,First,Kian Dominguez,4,22,WON,100,140,63,100,38,40,0,20,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,Kian Dominguez,First,John Power,5,18,LOST,59,45,57,60,96,80,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,John Power,Second,Kian Dominguez,5,17,WON,60,85,81,84,91,100,,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,Kian Dominguez,Second,John Power,6,21,LOST,68,27,140,58,82,114,9,,,,,,
Redhill,,,04/07/2025,Semi-Final,https://www.dartsatlas.com/matches/5GLvIpMSvDb3,John Power,First,Kian Dominguez,6,22,WON,60,100,100,59,54,44,48,36,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Charlie Green,First,Troy Power,1,30,LOST,60,60,60,22,43,125,43,81,0,5,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Troy Power,Second,Charlie Green,1,30,WON,44,59,20,34,140,44,49,0,91,20,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Charlie Green,Second,Troy Power,2,26,WON,96,59,58,100,58,80,30,0,20,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Troy Power,First,Charlie Green,2,27,LOST,58,40,96,15,97,69,18,52,36,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Charlie Green,First,Troy Power,3,17,WON,100,140,45,59,137,20,,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Troy Power,Second,Charlie Green,3,15,LOST,99,60,60,60,42,,,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Charlie Green,Second,Troy Power,4,18,LOST,100,93,162,56,85,0,,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Troy Power,First,Charlie Green,4,20,WON,180,100,45,56,60,30,30,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Charlie Green,First,Troy Power,5,24,WON,57,140,45,99,78,0,42,40,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Troy Power,Second,Charlie Green,5,21,LOST,84,45,60,45,45,58,49,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Charlie Green,Second,Troy Power,6,30,WON,97,21,43,100,96,120,18,4,0,2,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/TZP9sV5TL9gq,Troy Power,First,Charlie Green,6,30,LOST,45,43,58,26,25,44,50,100,56,34,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/KlTBpQn2ooFC,Dave Bowman,Second,Craig Cross,1,21,LOST,100,100,25,43,39,100,31,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/KlTBpQn2ooFC,Craig Cross,First,Dave Bowman,1,23,WON,59,85,99,60,56,70,24,48,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/KlTBpQn2ooFC,Dave Bowman,First,Craig Cross,2,18,LOST,100,62,60,41,135,28,,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/KlTBpQn2ooFC,Craig Cross,Second,Dave Bowman,2,18,WON,58,78,99,134,100,32,,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/KlTBpQn2ooFC,Dave Bowman,Second,Craig Cross,3,22,WON,39,60,40,81,83,125,33,40,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/KlTBpQn2ooFC,Craig Cross,First,Dave Bowman,3,24,LOST,44,31,59,45,60,40,41,41,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/KlTBpQn2ooFC,Dave Bowman,First,Craig Cross,4,24,LOST,100,34,58,59,43,29,60,58,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/KlTBpQn2ooFC,Craig Cross,Second,Dave Bowman,4,22,WON,59,60,95,59,100,112,0,16,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/KlTBpQn2ooFC,Dave Bowman,Second,Craig Cross,5,18,LOST,60,95,140,100,70,27,,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/KlTBpQn2ooFC,Craig Cross,First,Dave Bowman,5,20,WON,59,95,136,57,57,71,26,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Dre Sassu,First,Kian Dominguez,1,21,WON,45,58,100,58,100,80,60,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Kian Dominguez,Second,Dre Sassu,1,18,LOST,41,43,60,140,52,65,,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Dre Sassu,Second,Kian Dominguez,2,30,LOST,60,81,83,22,57,121,37,20,0,0,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Kian Dominguez,First,Dre Sassu,2,32,WON,81,41,134,60,28,60,45,0,18,10,24,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Dre Sassu,First,Kian Dominguez,3,22,WON,53,140,100,66,42,68,16,16,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Kian Dominguez,Second,Dre Sassu,3,21,LOST,81,59,41,57,100,57,30,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Dre Sassu,Second,Kian Dominguez,4,24,LOST,28,36,26,81,80,45,58,37,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Kian Dominguez,First,Dre Sassu,4,27,WON,80,55,36,100,78,60,52,30,10,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Dre Sassu,First,Kian Dominguez,5,39,LOST,100,60,97,60,60,92,16,0,8,0,4,2,0
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Kian Dominguez,Second,Dre Sassu,5,39,WON,41,100,85,100,55,60,55,0,0,3,0,0,2
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Dre Sassu,Second,Kian Dominguez,6,21,LOST,60,29,140,60,48,100,44,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/iDDpp5RplYPf,Kian Dominguez,First,Dre Sassu,6,23,WON,30,30,45,100,42,95,127,32,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WK2NeEMluGuk,John Power,First,Charlie Hardie,1,22,WON,140,100,26,65,85,77,4,4,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WK2NeEMluGuk,Charlie Hardie,Second,John Power,1,21,LOST,60,60,60,41,46,41,95,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WK2NeEMluGuk,John Power,Second,Charlie Hardie,2,22,WON,100,140,100,50,48,31,0,32,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WK2NeEMluGuk,Charlie Hardie,First,John Power,2,24,LOST,81,100,55,95,61,39,40,0,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WK2NeEMluGuk,John Power,First,Charlie Hardie,3,18,WON,60,60,140,100,105,36,,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WK2NeEMluGuk,Charlie Hardie,Second,John Power,3,15,LOST,140,43,60,81,99,,,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WK2NeEMluGuk,John Power,Second,Charlie Hardie,4,19,WON,100,100,83,58,100,40,20,,,,,,
Redhill,,,04/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/WK2NeEMluGuk,Charlie Hardie,First,John Power,4,21,LOST,60,35,25,57,57,95,96,,,,,,
