Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Cam Crabtree,First,Bradley OConnor,1,16,WON,60,180,85,59,77,40,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Bradley OConnor,Second,Cam Crabtree,1,15,LOST,58,95,180,136,0,,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Cam Crabtree,Second,Bradley OConnor,2,15,WON,100,57,140,140,64,,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Bradley OConnor,First,Cam Crabtree,2,15,LOST,59,39,135,70,38,,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Cam Crabtree,First,Bradley OConnor,3,17,WON,57,60,140,100,128,16,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Bradley OConnor,Second,Cam Crabtree,3,15,LOST,43,80,60,140,98,,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Cam Crabtree,Second,Bradley OConnor,4,12,LOST,60,60,180,43,,,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Bradley OConnor,First,Cam Crabtree,4,15,WON,180,100,135,36,50,,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Cam Crabtree,First,Bradley OConnor,5,15,WON,58,96,100,180,67,,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Bradley OConnor,Second,Cam Crabtree,5,12,LOST,95,100,40,84,,,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Cam Crabtree,Second,Bradley OConnor,6,16,WON,134,99,58,96,86,28,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Bradley OConnor,First,Cam Crabtree,6,18,LOST,140,85,44,54,44,96,,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Cam Crabtree,First,Bradley OConnor,7,20,WON,100,57,58,58,140,63,25,,,,,,,,,,,
Redhill,,,07/02/2025,Final,https://www.dartsatlas.com/matches/i1RgfWnC9tVz,Bradley OConnor,Second,Cam Crabtree,7,18,LOST,96,100,81,96,56,52,,,,,,,,,,,,
Redhill,,,07/02/2025,Semi-Final,https://www.dartsatlas.com/matches/F4MOXI5Xvw4v,Cam Crabtree,First,Kean Evans,1,15,LOST,99,96,99,28,99,,,,,,,,,,,,,
Redhill,,,07/02/2025,Semi-Final,https://www.dartsatlas.com/matches/F4MOXI5Xvw4v,Kean Evans,Second,Cam Crabtree,1,15,WON,100,100,180,57,64,,,,,,,,,,,,,
