Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/T6LBSlvVNGxJ,George Price,First,Connor Merrick,1,30,WON,60,60,49,45,44,81,100,30,0,32,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/T6LBSlvVNGxJ,Connor Merrick,Second,George Price,1,27,LOST,80,41,135,20,45,100,60,10,0,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/T6LBSlvVNGxJ,George Price,Second,Connor Merrick,2,20,WON,83,81,60,100,29,100,48,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/T6LBSlvVNGxJ,Connor Merrick,First,George Price,2,21,LOST,66,26,60,55,100,82,5,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/5WYghjonwlfY,Jono Harding,First,Adrian Boier,1,22,WON,100,100,45,60,78,32,46,40,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/5WYghjonwlfY,Adrian Boier,Second,Jono Harding,1,21,LOST,28,31,59,25,43,119,30,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/5WYghjonwlfY,Jono Harding,Second,Adrian Boier,2,24,LOST,59,95,55,81,57,43,51,50,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/5WYghjonwlfY,Adrian Boier,First,Jono Harding,2,26,WON,65,140,42,27,43,48,77,0,59,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/5WYghjonwlfY,Jono Harding,First,Adrian Boier,3,18,LOST,41,100,60,125,55,60,,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/5WYghjonwlfY,Adrian Boier,Second,Jono Harding,3,18,WON,82,59,140,40,60,120,,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/c3AczKawLQli,John Mcdermott,First,Edgar Znutins,1,21,LOST,82,60,60,95,60,29,29,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/c3AczKawLQli,Edgar Znutins,Second,John Mcdermott,1,19,WON,29,96,58,121,81,92,24,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/c3AczKawLQli,John Mcdermott,Second,Edgar Znutins,2,21,LOST,100,83,66,41,24,41,30,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/c3AczKawLQli,Edgar Znutins,First,John Mcdermott,2,22,WON,100,100,60,100,47,58,0,36,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/8VbiFwSK4RRT,George Price,First,Jono Harding,1,30,LOST,22,78,30,41,33,45,97,9,114,24,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/8VbiFwSK4RRT,Jono Harding,Second,George Price,1,28,WON,45,45,60,45,44,24,60,138,20,20,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/8VbiFwSK4RRT,George Price,Second,Jono Harding,2,24,LOST,26,7,41,45,42,66,60,25,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/8VbiFwSK4RRT,Jono Harding,First,George Price,2,27,WON,81,45,49,60,48,42,45,111,20,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/2RnTIwFNYG4e,Connor Merrick,Second,Edgar Znutins,1,21,LOST,41,70,60,24,41,45,55,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/2RnTIwFNYG4e,Edgar Znutins,First,Connor Merrick,1,22,WON,50,59,55,100,43,138,54,2,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/2RnTIwFNYG4e,Connor Merrick,First,Edgar Znutins,2,30,LOST,60,41,40,60,100,7,26,60,24,43,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/2RnTIwFNYG4e,Edgar Znutins,Second,Connor Merrick,2,29,WON,100,57,100,41,95,84,18,0,4,2,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/yWZqFV9HQBre,Adrian Boier,First,John Mcdermott,1,29,WON,77,87,85,27,27,31,59,32,36,40,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/yWZqFV9HQBre,John Mcdermott,Second,Adrian Boier,1,27,LOST,28,60,30,49,13,58,41,78,85,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/yWZqFV9HQBre,Adrian Boier,Second,John Mcdermott,2,24,LOST,82,33,41,100,60,28,80,37,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/yWZqFV9HQBre,John Mcdermott,First,Adrian Boier,2,25,WON,26,45,45,61,45,95,39,125,20,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/yWZqFV9HQBre,Adrian Boier,First,John Mcdermott,3,21,LOST,59,60,82,55,96,80,36,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/yWZqFV9HQBre,John Mcdermott,Second,Adrian Boier,3,19,WON,84,41,100,70,85,81,40,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/FCkCE6b1mflr,Edgar Znutins,First,George Price,1,18,WON,100,60,46,80,137,78,,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/FCkCE6b1mflr,George Price,Second,Edgar Znutins,1,15,LOST,26,26,85,30,100,,,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/FCkCE6b1mflr,Edgar Znutins,Second,George Price,2,18,WON,57,60,140,83,44,117,,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/FCkCE6b1mflr,George Price,First,Edgar Znutins,2,18,LOST,41,140,85,41,40,91,,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/p1OyTvFlSxOU,Connor Merrick,Second,Adrian Boier,1,27,LOST,52,85,22,21,41,40,24,26,40,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/p1OyTvFlSxOU,Adrian Boier,First,Connor Merrick,1,29,WON,55,48,76,60,60,67,55,40,20,20,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/p1OyTvFlSxOU,Connor Merrick,First,Adrian Boier,2,27,LOST,85,41,22,40,81,81,85,30,0,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/p1OyTvFlSxOU,Adrian Boier,Second,Connor Merrick,2,26,WON,15,85,27,100,100,54,40,60,20,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/ohpx7IGpzIK2,Jono Harding,Second,John Mcdermott,1,21,LOST,38,39,60,85,100,41,111,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/ohpx7IGpzIK2,John Mcdermott,First,Jono Harding,1,23,WON,60,96,81,41,85,32,66,40,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/ohpx7IGpzIK2,Jono Harding,First,John Mcdermott,2,29,WON,43,125,97,60,24,34,87,26,3,2,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/ohpx7IGpzIK2,John Mcdermott,Second,Jono Harding,2,27,LOST,60,28,43,81,60,58,15,31,59,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/ohpx7IGpzIK2,Jono Harding,Second,John Mcdermott,3,21,LOST,53,85,30,58,70,45,15,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/ohpx7IGpzIK2,John Mcdermott,First,Jono Harding,3,22,WON,81,69,58,57,41,95,68,32,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/CQquo1wUOaPI,George Price,First,Adrian Boier,1,30,WON,55,81,45,45,60,83,46,44,10,32,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/CQquo1wUOaPI,Adrian Boier,Second,George Price,1,27,LOST,27,41,96,60,31,41,65,60,60,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/CQquo1wUOaPI,George Price,Second,Adrian Boier,2,18,LOST,26,140,66,100,41,28,,,,,,,,,,,,,
Ruislip,,,10/10/2025,Group 1,https://www.dartsatlas.com/matches/CQquo1wUOaPI,Adrian Boier,First,George Price,2,21,WON,35,100,41,140,85,44,56,,,,,,,,,,,,
