Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,George Whyte,First,John Mcdermott,1,22,WON,57,59,140,96,44,46,39,20,,,,,,,,
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,John Mcdermott,Second,George Whyte,1,21,LOST,45,41,81,37,83,94,60,,,,,,,,,
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,George Whyte,Second,John Mcdermott,2,18,LOST,45,40,60,78,94,64,,,,,,,,,,
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,John Mcdermott,First,George Whyte,2,21,WON,100,100,100,100,0,25,76,,,,,,,,,
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,George Whyte,First,John Mcdermott,3,24,LOST,100,43,60,55,60,41,92,30,,,,,,,,
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,John Mcdermott,Second,George Whyte,3,22,WON,41,60,121,76,57,89,37,20,,,,,,,,
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,George Whyte,Second,John Mcdermott,4,16,WON,42,93,177,180,3,6,,,,,,,,,,
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,John Mcdermott,First,George Whyte,4,18,LOST,41,41,22,60,42,135,,,,,,,,,,
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,George Whyte,First,John Mcdermott,5,21,WON,26,44,100,100,140,18,73,,,,,,,,,
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,John Mcdermott,Second,George Whyte,5,18,LOST,53,58,100,60,78,60,,,,,,,,,,
Ruislip,,,22-11-2025,Final,https://www.dartsatlas.com/matches/u1a6ZWnzYdGZ,George Whyte,Second,John Mcdermott,6,20,WON,140,44,57,60,55,65,80,,,,,,,,,
