Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21,Throw_22,Throw_23
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/xZFMAdGfSMJN,Troy Power,First,Paul Upfold,1,25,WON,59,46,140,100,44,42,25,25,20,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/xZFMAdGfSMJN,Paul Upfold,Second,Troy Power,1,24,LOST,24,100,44,95,58,63,57,20,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/xZFMAdGfSMJN,Troy Power,Second,Paul Upfold,2,21,WON,58,85,56,57,45,100,100,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/xZFMAdGfSMJN,Paul Upfold,First,Troy Power,2,21,LOST,40,43,25,45,45,23,59,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/jVso7XeLg5QE,Ross Lee,First,Teddie Stanford,1,31,WON,100,40,37,42,60,44,40,40,38,50,10,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/jVso7XeLg5QE,Teddie Stanford,Second,Ross Lee,1,30,LOST,52,39,12,104,37,93,24,6,28,11,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/jVso7XeLg5QE,Ross Lee,Second,Teddie Stanford,2,19,WON,60,58,59,180,58,62,24,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/jVso7XeLg5QE,Teddie Stanford,First,Ross Lee,2,21,LOST,45,81,133,45,10,54,8,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/IxDrrhpsfurH,Harry Sheridan,First,Alan Greene,1,36,LOST,26,55,60,33,45,24,32,45,45,13,87,18,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/IxDrrhpsfurH,Alan Greene,Second,Harry Sheridan,1,35,WON,45,45,66,60,60,22,48,41,89,23,0,2,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/IxDrrhpsfurH,Harry Sheridan,Second,Alan Greene,2,33,LOST,41,77,81,100,58,24,39,6,19,17,0,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/IxDrrhpsfurH,Alan Greene,First,Harry Sheridan,2,35,WON,41,40,66,45,45,41,99,0,56,28,8,32,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/taUrEX10vVTL,Troy Power,First,Ross Lee,1,30,LOST,31,95,40,15,85,58,59,44,54,0,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/taUrEX10vVTL,Ross Lee,Second,Troy Power,1,28,WON,84,81,140,41,32,98,17,4,0,4,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/taUrEX10vVTL,Troy Power,Second,Ross Lee,2,21,WON,52,56,60,55,66,135,77,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/taUrEX10vVTL,Ross Lee,First,Troy Power,2,21,LOST,60,45,85,95,140,36,0,,,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 1,https://www.dartsatlas.com/matches/taUrEX10vVTL,Troy Power,First,Ross Lee,3,30,LOST,43,100,60,39,43,60,80,0,4,33,,,,,,,,,,,,,
