Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/002fZZ794PnU,Philip Johnson,Second,Ross Lee,1,24,LOST,41,23,39,13,137,27,30,41,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/002fZZ794PnU,Ross Lee,First,Philip Johnson,1,27,WON,30,85,85,45,81,36,29,74,36,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/002fZZ794PnU,Philip Johnson,First,Ross Lee,2,54,LOST,36,41,81,9,9,57,26,60,60,29,0,48,25,15,3,0,0,0
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/002fZZ794PnU,Ross Lee,Second,Philip Johnson,2,52,WON,45,85,100,45,26,100,80,15,0,0,0,0,0,0,3,0,0,2
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/h7KrwdtBQsWC,Peter Whelan,Second,Charlie Green,1,18,LOST,24,44,57,13,29,133,,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/h7KrwdtBQsWC,Charlie Green,First,Peter Whelan,1,19,WON,134,45,59,99,79,81,4,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/h7KrwdtBQsWC,Peter Whelan,First,Charlie Green,2,21,LOST,45,29,60,45,24,26,85,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/h7KrwdtBQsWC,Charlie Green,Second,Peter Whelan,2,21,WON,58,96,100,45,94,52,56,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/tLr3jvydzfej,Ryan Howard,First,John Mcdermott,1,24,WON,58,78,140,45,40,60,70,10,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/tLr3jvydzfej,John Mcdermott,Second,Ryan Howard,1,21,LOST,60,60,140,57,60,42,47,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/tLr3jvydzfej,Ryan Howard,Second,John Mcdermott,2,30,WON,58,22,24,99,140,98,20,30,0,10,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/tLr3jvydzfej,John Mcdermott,First,Ryan Howard,2,30,LOST,76,15,121,26,57,32,94,64,8,0,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/26nxpZuHTSmv,Philip Johnson,Second,Peter Whelan,1,30,LOST,26,45,81,36,83,41,41,56,21,51,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/26nxpZuHTSmv,Peter Whelan,First,Philip Johnson,1,32,WON,81,26,44,85,95,60,28,43,35,2,2,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/26nxpZuHTSmv,Philip Johnson,First,Peter Whelan,2,38,WON,60,45,60,40,52,66,55,85,28,0,8,0,2,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/26nxpZuHTSmv,Peter Whelan,Second,Philip Johnson,2,36,LOST,55,60,13,47,52,22,36,22,58,52,28,41,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/26nxpZuHTSmv,Philip Johnson,Second,Peter Whelan,3,22,WON,85,100,81,85,100,18,0,32,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/26nxpZuHTSmv,Peter Whelan,First,Philip Johnson,3,24,LOST,83,70,41,55,30,2,63,41,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/oY1zpEw9aVkz,Ross Lee,Second,John Mcdermott,1,27,LOST,99,83,40,85,79,22,85,0,0,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/oY1zpEw9aVkz,John Mcdermott,First,Ross Lee,1,28,WON,40,52,140,26,68,122,21,0,16,16,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/oY1zpEw9aVkz,Ross Lee,First,John Mcdermott,2,27,LOST,42,65,95,28,57,85,79,10,2,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/oY1zpEw9aVkz,John Mcdermott,Second,Ross Lee,2,27,WON,41,60,95,38,59,122,23,0,63,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/cyk7NwHvplat,Charlie Green,Second,Ryan Howard,1,18,WON,100,100,41,60,140,60,,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/cyk7NwHvplat,Ryan Howard,First,Charlie Green,1,18,LOST,43,59,97,58,100,40,,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/cyk7NwHvplat,Charlie Green,First,Ryan Howard,2,19,WON,58,44,61,140,134,24,40,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/cyk7NwHvplat,Ryan Howard,Second,Charlie Green,2,18,LOST,74,80,36,57,58,100,,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/WyiuchfuhbAQ,John Mcdermott,First,Philip Johnson,1,24,WON,81,81,99,78,56,30,60,16,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/WyiuchfuhbAQ,Philip Johnson,Second,John Mcdermott,1,21,LOST,85,26,45,81,50,100,24,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/WyiuchfuhbAQ,John Mcdermott,Second,Philip Johnson,2,28,WON,60,44,85,78,36,43,83,40,0,32,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/WyiuchfuhbAQ,Philip Johnson,First,John Mcdermott,2,30,LOST,100,45,28,121,40,19,64,25,21,32,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/gSAA6ffmEx17,Ross Lee,First,Charlie Green,1,21,WON,15,41,60,85,137,81,82,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/gSAA6ffmEx17,Charlie Green,Second,Ross Lee,1,18,LOST,39,140,100,100,78,24,,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/gSAA6ffmEx17,Ross Lee,Second,Charlie Green,2,15,LOST,30,27,40,60,41,,,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/gSAA6ffmEx17,Charlie Green,First,Ross Lee,2,16,WON,83,100,125,57,96,40,,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/gSAA6ffmEx17,Ross Lee,First,Charlie Green,3,23,WON,81,85,45,43,60,100,62,25,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/gSAA6ffmEx17,Charlie Green,Second,Ross Lee,3,21,LOST,60,81,140,65,59,88,6,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/d8CwgakhtQKP,Peter Whelan,Second,Ryan Howard,1,33,LOST,45,26,30,23,67,100,22,44,66,38,34,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/d8CwgakhtQKP,Ryan Howard,First,Peter Whelan,1,36,WON,58,42,58,41,121,83,78,10,5,0,0,5,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/d8CwgakhtQKP,Peter Whelan,First,Ryan Howard,2,21,LOST,26,25,60,17,58,45,45,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/d8CwgakhtQKP,Ryan Howard,Second,Peter Whelan,2,20,WON,43,93,58,58,134,99,16,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/yXPh3WyrjLTw,Philip Johnson,Second,Charlie Green,1,22,WON,45,60,76,70,60,30,120,40,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/yXPh3WyrjLTw,Charlie Green,First,Philip Johnson,1,24,LOST,60,140,60,180,0,21,0,20,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/yXPh3WyrjLTw,Philip Johnson,First,Charlie Green,2,21,LOST,43,66,45,70,45,45,33,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/yXPh3WyrjLTw,Charlie Green,Second,Philip Johnson,2,19,WON,41,100,59,134,60,67,40,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/yXPh3WyrjLTw,Philip Johnson,Second,Charlie Green,3,21,LOST,41,45,62,83,26,42,41,,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/yXPh3WyrjLTw,Charlie Green,First,Philip Johnson,3,23,WON,30,58,59,118,60,136,20,20,,,,,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/Ub93NTItGkyj,Ryan Howard,Second,Ross Lee,1,36,LOST,96,60,41,22,44,45,45,58,22,52,8,6,,,,,,
Ruislip,,,25/07/2025,Group 1,https://www.dartsatlas.com/matches/Ub93NTItGkyj,Ross Lee,First,Ryan Howard,1,38,WON,25,100,77,28,13,40,38,25,11,5,47,67,25,,,,,
