Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/HSZJNs1y97yW,Teddy Breeze,Second,John Mcdermott,1,24,LOST,22,40,41,81,36,45,45,121,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/HSZJNs1y97yW,John Mcdermott,First,Teddy Breeze,1,26,WON,22,84,43,31,60,41,94,93,33,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/HSZJNs1y97yW,Teddy Breeze,First,John Mcdermott,2,24,LOST,41,60,41,140,45,24,46,31,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/HSZJNs1y97yW,John Mcdermott,Second,Teddy Breeze,2,22,WON,60,32,40,55,140,100,42,32,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/ziG2pyOSQOjF,Charlie Hardie,Second,Steve Henry,1,21,LOST,33,60,41,60,41,41,81,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/ziG2pyOSQOjF,Steve Henry,First,Charlie Hardie,1,23,WON,83,95,23,60,100,44,77,19,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/ziG2pyOSQOjF,Charlie Hardie,First,Steve Henry,2,18,LOST,28,55,26,41,60,45,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/ziG2pyOSQOjF,Steve Henry,Second,Charlie Hardie,2,17,WON,137,80,98,44,102,40,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/bOShPUDmOb2k,Terry Lyons,Second,George Whyte,1,15,LOST,70,41,41,24,26,,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/bOShPUDmOb2k,George Whyte,First,Terry Lyons,1,17,WON,81,135,140,41,72,32,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/bOShPUDmOb2k,Terry Lyons,First,George Whyte,2,27,LOST,94,65,60,80,7,30,41,67,17,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/bOShPUDmOb2k,George Whyte,Second,Terry Lyons,2,27,WON,180,140,140,21,15,1,0,0,4,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/hAL4CtBb8uzz,Teddy Breeze,First,Charlie Hardie,1,39,LOST,60,27,41,15,45,28,41,66,21,17,22,80,22,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/hAL4CtBb8uzz,Charlie Hardie,Second,Teddy Breeze,1,39,WON,60,61,60,83,41,26,60,70,32,0,0,0,8,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/hAL4CtBb8uzz,Teddy Breeze,Second,Charlie Hardie,2,30,WON,38,60,28,56,60,64,45,122,21,7,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/hAL4CtBb8uzz,Charlie Hardie,First,Teddy Breeze,2,30,LOST,30,41,41,59,22,41,26,60,125,16,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/hAL4CtBb8uzz,Teddy Breeze,First,Charlie Hardie,3,30,LOST,42,43,41,81,46,84,9,22,35,43,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/hAL4CtBb8uzz,Charlie Hardie,Second,Teddy Breeze,3,30,WON,81,60,81,45,60,98,68,0,0,8,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/qy4EAQaKuZq5,John Mcdermott,First,George Whyte,1,30,WON,81,43,60,96,87,69,0,34,27,4,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/qy4EAQaKuZq5,George Whyte,Second,John Mcdermott,1,27,LOST,85,83,95,134,72,0,24,6,0,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/qy4EAQaKuZq5,John Mcdermott,Second,George Whyte,2,18,LOST,100,60,98,97,60,70,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/qy4EAQaKuZq5,George Whyte,First,John Mcdermott,2,21,WON,100,100,45,83,70,71,32,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/qy4EAQaKuZq5,John Mcdermott,First,George Whyte,3,16,WON,98,95,140,100,36,32,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/qy4EAQaKuZq5,George Whyte,Second,John Mcdermott,3,15,LOST,134,62,100,85,100,,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/KPI1GAmb4xqs,Steve Henry,First,Terry Lyons,1,26,WON,45,45,99,42,15,54,85,82,34,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/KPI1GAmb4xqs,Terry Lyons,Second,Steve Henry,1,24,LOST,55,60,22,41,26,28,100,45,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/KPI1GAmb4xqs,Steve Henry,Second,Terry Lyons,2,27,WON,25,60,65,45,45,63,57,89,52,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/KPI1GAmb4xqs,Terry Lyons,First,Steve Henry,2,27,LOST,60,52,41,26,30,81,60,41,60,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/L8bDdEfWod1E,George Whyte,First,Teddy Breeze,1,18,WON,140,82,99,100,40,40,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/L8bDdEfWod1E,Teddy Breeze,Second,George Whyte,1,15,LOST,27,45,39,30,44,,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/L8bDdEfWod1E,George Whyte,Second,Teddy Breeze,2,19,WON,140,42,44,57,44,162,12,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/L8bDdEfWod1E,Teddy Breeze,First,George Whyte,2,21,LOST,100,60,57,26,60,60,132,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/9LQeyjPNrvHT,John Mcdermott,Second,Steve Henry,1,25,WON,60,41,24,100,45,81,58,52,40,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/9LQeyjPNrvHT,Steve Henry,First,John Mcdermott,1,27,LOST,100,85,81,41,78,52,29,26,0,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/9LQeyjPNrvHT,John Mcdermott,First,Steve Henry,2,26,WON,26,85,85,81,82,42,13,40,47,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/9LQeyjPNrvHT,Steve Henry,Second,John Mcdermott,2,24,LOST,140,28,30,60,125,32,46,35,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/pw7Eww4gQW50,Charlie Hardie,Second,Terry Lyons,1,34,WON,60,60,60,41,41,59,59,57,0,44,0,20,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/pw7Eww4gQW50,Terry Lyons,First,Charlie Hardie,1,36,LOST,35,80,81,100,129,42,26,0,0,0,4,0,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/pw7Eww4gQW50,Charlie Hardie,First,Terry Lyons,2,29,WON,30,80,26,81,41,22,70,43,25,83,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/pw7Eww4gQW50,Terry Lyons,Second,Charlie Hardie,2,27,LOST,45,45,21,3,11,45,100,76,82,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/ZULvIUg7TbAm,Teddy Breeze,Second,Steve Henry,1,36,LOST,43,81,52,66,28,41,30,41,32,52,19,0,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/ZULvIUg7TbAm,Steve Henry,First,Teddy Breeze,1,38,WON,100,40,42,40,41,45,15,98,28,34,10,4,4,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/ZULvIUg7TbAm,Teddy Breeze,First,Steve Henry,2,29,WON,41,26,22,45,13,119,85,90,20,40,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/ZULvIUg7TbAm,Steve Henry,Second,Teddy Breeze,2,27,LOST,52,26,44,58,40,45,42,58,100,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/ZULvIUg7TbAm,Teddy Breeze,Second,Steve Henry,3,21,LOST,64,85,45,22,22,41,58,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/ZULvIUg7TbAm,Steve Henry,First,Teddy Breeze,3,24,WON,21,95,83,53,41,58,85,65,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/cGL0DFWg2aFg,Terry Lyons,First,John Mcdermott,1,18,LOST,55,11,60,60,83,38,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/cGL0DFWg2aFg,John Mcdermott,Second,Terry Lyons,1,18,WON,100,81,60,60,100,100,,,,,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/cGL0DFWg2aFg,Terry Lyons,Second,John Mcdermott,2,28,WON,100,60,60,55,30,45,42,43,30,36,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/cGL0DFWg2aFg,John Mcdermott,First,Terry Lyons,2,30,LOST,95,100,19,55,64,42,98,0,0,0,,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/cGL0DFWg2aFg,Terry Lyons,First,John Mcdermott,3,33,LOST,60,60,41,100,30,7,100,97,0,0,4,,,,
Ruislip,,,26/04/2025,Group 1,https://www.dartsatlas.com/matches/cGL0DFWg2aFg,John Mcdermott,Second,Terry Lyons,3,32,WON,81,38,140,26,83,59,58,8,0,6,2,,,,
