Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,John Mcdermott,Second,Hamond Kumar,1,21,LOST,41,42,60,40,43,100,60,,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,Hamond Kumar,First,John Mcdermott,1,24,WON,41,60,6,85,100,100,77,32,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,John Mcdermott,First,Hamond Kumar,2,24,LOST,85,100,85,41,78,35,52,21,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,Hamond Kumar,Second,John Mcdermott,2,22,WON,81,140,55,55,60,54,36,20,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,John Mcdermott,Second,Hamond Kumar,3,15,LOST,41,60,13,54,27,,,,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,Hamond Kumar,First,John Mcdermott,3,17,WON,100,140,60,45,140,16,,,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,John Mcdermott,First,Hamond Kumar,4,18,LOST,36,140,100,41,78,74,,,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,Hamond Kumar,Second,John Mcdermott,4,18,WON,85,100,60,100,120,36,,,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,John Mcdermott,Second,Hamond Kumar,5,18,LOST,100,30,58,83,81,117,,,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,Hamond Kumar,First,John Mcdermott,5,19,WON,100,55,90,100,80,56,20,,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,John Mcdermott,First,Hamond Kumar,6,18,LOST,45,41,13,62,100,58,,,,
Ruislip,,,26-09-2025,Final,https://www.dartsatlas.com/matches/goSH5isEgAcO,Hamond Kumar,Second,John Mcdermott,6,17,WON,100,180,60,85,72,4,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,Paul Upfold,Second,John Mcdermott,1,20,WON,60,98,45,53,100,85,60,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,John Mcdermott,First,Paul Upfold,1,21,LOST,26,59,45,59,91,81,60,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,Paul Upfold,First,John Mcdermott,2,21,WON,98,100,29,66,60,60,88,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,John Mcdermott,Second,Paul Upfold,2,18,LOST,43,100,49,82,85,73,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,Paul Upfold,Second,John Mcdermott,3,15,LOST,60,60,72,43,87,,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,John Mcdermott,First,Paul Upfold,3,18,WON,121,27,99,44,100,110,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,Paul Upfold,First,John Mcdermott,4,20,WON,44,83,95,80,82,57,60,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,John Mcdermott,Second,Paul Upfold,4,18,LOST,26,83,100,121,13,40,,,,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QetfM0IK0RbD,Paul Upfold,Second,John Mcdermott,5,21,LOST,78,60,137,72,25,40,26,,,
