Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Liam Saxon,First,Edgar Znutins,1,15,WON,59,100,140,140,62,,,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Edgar Znutins,Second,Liam Saxon,1,12,LOST,60,60,42,140,,,,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Liam Saxon,Second,Edgar Znutins,2,13,WON,180,140,59,108,14,,,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Edgar Znutins,First,Liam Saxon,2,15,LOST,96,60,134,133,54,,,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Liam Saxon,First,Edgar Znutins,3,18,WON,60,55,100,100,80,106,,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Edgar Znutins,Second,Liam Saxon,3,15,LOST,98,77,97,59,134,,,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Liam Saxon,Second,Edgar Znutins,4,18,WON,100,89,58,120,58,76,,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Edgar Znutins,First,Liam Saxon,4,18,LOST,100,93,95,87,89,29,,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Liam Saxon,First,Edgar Znutins,5,20,WON,60,46,58,40,100,137,60,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Edgar Znutins,Second,Liam Saxon,5,18,LOST,57,41,97,136,60,46,,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Liam Saxon,Second,Edgar Znutins,6,30,LOST,43,140,60,60,100,58,30,8,0,0,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Edgar Znutins,First,Liam Saxon,6,32,WON,60,57,93,100,32,59,45,35,12,0,8,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Liam Saxon,First,Edgar Znutins,7,20,WON,57,100,40,60,100,85,59,,,,,,,,
Ruislip,,,27/06/2025,Final,https://www.dartsatlas.com/matches/VVR2xQ8kOJFm,Edgar Znutins,Second,Liam Saxon,7,18,LOST,60,40,85,41,85,100,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Liam Saxon,Second,Ricky Caves,1,20,WON,57,45,180,133,52,16,18,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Ricky Caves,First,Liam Saxon,1,21,LOST,45,45,45,140,59,45,97,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Liam Saxon,First,Ricky Caves,2,20,WON,59,55,59,100,140,48,40,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Ricky Caves,Second,Liam Saxon,2,18,LOST,45,100,60,60,52,100,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Liam Saxon,Second,Ricky Caves,3,15,LOST,100,97,41,99,45,,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Ricky Caves,First,Liam Saxon,3,17,WON,100,123,41,99,82,56,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Liam Saxon,First,Ricky Caves,4,22,WON,59,99,60,97,36,76,66,8,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Ricky Caves,Second,Liam Saxon,4,21,LOST,135,85,45,125,46,57,6,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Liam Saxon,Second,Ricky Caves,5,12,LOST,40,60,100,41,,,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Ricky Caves,First,Liam Saxon,5,15,WON,100,100,100,85,116,,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Liam Saxon,First,Ricky Caves,6,20,WON,96,93,83,89,60,59,21,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Ricky Caves,Second,Liam Saxon,6,18,LOST,140,55,100,125,56,0,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Liam Saxon,Second,Ricky Caves,7,17,WON,100,97,100,58,58,88,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/VFdzbiRQF685,Ricky Caves,First,Liam Saxon,7,18,LOST,68,45,100,100,140,28,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Edgar Znutins,Second,Alfie Smith,1,18,LOST,44,121,100,44,60,54,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Alfie Smith,First,Edgar Znutins,1,19,WON,46,180,94,60,57,40,24,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Edgar Znutins,First,Alfie Smith,2,20,WON,41,45,60,100,58,131,66,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Alfie Smith,Second,Edgar Znutins,2,18,LOST,100,82,60,99,55,53,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Edgar Znutins,Second,Alfie Smith,3,18,LOST,45,85,44,60,100,139,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Alfie Smith,First,Edgar Znutins,3,21,WON,23,55,119,41,60,97,106,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Edgar Znutins,First,Alfie Smith,4,20,WON,40,59,140,41,60,121,40,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Alfie Smith,Second,Edgar Znutins,4,18,LOST,57,60,84,121,57,85,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Edgar Znutins,Second,Alfie Smith,5,18,WON,60,82,59,97,95,108,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Alfie Smith,First,Edgar Znutins,5,18,LOST,43,41,60,100,121,40,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Edgar Znutins,First,Alfie Smith,6,22,WON,91,45,98,41,140,54,0,32,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Alfie Smith,Second,Edgar Znutins,6,21,LOST,140,41,99,45,60,98,0,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Edgar Znutins,Second,Alfie Smith,7,21,LOST,46,100,47,57,60,58,109,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Alfie Smith,First,Edgar Znutins,7,23,WON,28,96,60,25,100,135,0,57,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Edgar Znutins,First,Alfie Smith,8,15,LOST,97,60,140,100,84,,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Alfie Smith,Second,Edgar Znutins,8,15,WON,44,125,138,60,134,,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Edgar Znutins,Second,Alfie Smith,9,17,WON,180,100,57,40,56,68,,,,,,,,,
Ruislip,,,27/06/2025,Semi-Final,https://www.dartsatlas.com/matches/8IYU93iVmNjc,Alfie Smith,First,Edgar Znutins,9,18,LOST,81,41,21,27,81,140,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Nick Holman,Second,Liam Saxon,1,18,WON,100,81,81,140,59,40,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Liam Saxon,First,Nick Holman,1,18,LOST,140,85,59,91,54,52,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Nick Holman,First,Liam Saxon,2,22,WON,81,100,60,100,140,0,10,10,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Liam Saxon,Second,Nick Holman,2,21,LOST,45,97,59,60,100,100,20,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Nick Holman,Second,Liam Saxon,3,15,LOST,100,55,45,80,41,,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Liam Saxon,First,Nick Holman,3,18,WON,58,97,180,58,40,68,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Nick Holman,First,Liam Saxon,4,21,LOST,100,60,100,65,31,57,47,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Liam Saxon,Second,Nick Holman,4,19,WON,97,45,100,93,94,32,40,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Nick Holman,Second,Liam Saxon,5,24,LOST,117,100,40,60,56,92,18,9,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Liam Saxon,First,Nick Holman,5,25,WON,81,97,85,140,86,0,0,0,12,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Nick Holman,First,Liam Saxon,6,16,WON,55,100,100,39,171,36,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Liam Saxon,Second,Nick Holman,6,15,LOST,44,140,180,57,40,,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Nick Holman,Second,Liam Saxon,7,18,LOST,100,13,60,60,61,100,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/osl6fQfrrCnk,Liam Saxon,First,Nick Holman,7,21,WON,100,82,81,125,93,0,20,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/hNMoXZKYHrOV,Ricky Caves,Second,Craig Searle,1,18,LOST,41,55,180,81,81,43,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/hNMoXZKYHrOV,Craig Searle,First,Ricky Caves,1,20,WON,60,55,99,98,49,100,40,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/hNMoXZKYHrOV,Ricky Caves,First,Craig Searle,2,13,WON,58,180,100,137,26,,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/hNMoXZKYHrOV,Craig Searle,Second,Ricky Caves,2,12,LOST,77,93,99,57,,,,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/hNMoXZKYHrOV,Ricky Caves,Second,Craig Searle,3,27,WON,85,83,60,45,61,87,60,0,20,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/hNMoXZKYHrOV,Craig Searle,First,Ricky Caves,3,27,LOST,96,60,45,32,140,56,32,20,15,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/hNMoXZKYHrOV,Ricky Caves,First,Craig Searle,4,29,WON,52,58,60,60,40,46,58,43,56,28,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/hNMoXZKYHrOV,Craig Searle,Second,Ricky Caves,4,27,LOST,44,100,54,95,76,58,34,32,0,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/hNMoXZKYHrOV,Ricky Caves,Second,Craig Searle,5,21,WON,60,45,100,85,97,58,56,,,,,,,,
Ruislip,,,27/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/hNMoXZKYHrOV,Craig Searle,First,Ricky Caves,5,21,LOST,58,140,140,84,39,20,15,,,,,,,,
