Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,Second,Nick Holman,1,22,WON,100,137,81,60,41,42,30,10,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,First,Tergel Khurelkhuu,1,24,LOST,60,85,100,41,140,63,6,0,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,First,Nick Holman,2,15,WON,134,100,140,87,40,,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,Second,Tergel Khurelkhuu,2,12,LOST,81,121,100,45,,,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,Second,Nick Holman,3,18,LOST,92,100,140,25,104,0,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,First,Tergel Khurelkhuu,3,21,WON,85,140,60,41,46,49,80,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,First,Nick Holman,4,21,LOST,48,85,58,60,60,85,65,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,Second,Tergel Khurelkhuu,4,19,WON,100,100,100,85,41,35,40,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,Second,Nick Holman,5,15,LOST,58,43,60,60,140,,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,First,Tergel Khurelkhuu,5,18,WON,100,140,85,100,41,35,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,First,Nick Holman,6,14,WON,97,41,140,180,43,,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,Second,Tergel Khurelkhuu,6,12,LOST,60,95,60,100,,,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,Second,Nick Holman,7,18,LOST,100,58,58,100,121,44,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,First,Tergel Khurelkhuu,7,20,WON,140,100,91,43,59,51,17,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,First,Nick Holman,8,14,WON,140,49,100,123,89,,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,Second,Tergel Khurelkhuu,8,12,LOST,45,121,77,100,,,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,Second,Nick Holman,9,19,WON,43,35,100,140,84,59,40,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,First,Tergel Khurelkhuu,9,21,LOST,81,55,100,24,60,100,57,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,First,Nick Holman,10,18,LOST,60,180,65,100,60,24,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,Second,Tergel Khurelkhuu,10,18,WON,140,26,60,105,21,149,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Tergel Khurelkhuu,Second,Nick Holman,11,18,LOST,60,85,85,100,51,80,,,,,
Ruislip,,,28/03/2025,Final,https://www.dartsatlas.com/matches/1YiBt8zd4P95,Nick Holman,First,Tergel Khurelkhuu,11,20,WON,81,140,43,60,60,57,60,,,,
Ruislip,,,28/03/2025,Semi-Final,https://www.dartsatlas.com/matches/rYRpUaBu06im,Tergel Khurelkhuu,First,Odbileg Khayankhyarvaa,1,18,LOST,81,37,60,45,95,102,,,,,
Ruislip,,,28/03/2025,Semi-Final,https://www.dartsatlas.com/matches/rYRpUaBu06im,Odbileg Khayankhyarvaa,Second,Tergel Khurelkhuu,1,18,WON,121,22,81,140,39,98,,,,,
Ruislip,,,28/03/2025,Semi-Final,https://www.dartsatlas.com/matches/rYRpUaBu06im,Tergel Khurelkhuu,Second,Odbileg Khayankhyarvaa,2,27,LOST,81,44,60,42,41,123,70,20,0,,
Ruislip,,,28/03/2025,Semi-Final,https://www.dartsatlas.com/matches/rYRpUaBu06im,Odbileg Khayankhyarvaa,First,Tergel Khurelkhuu,2,28,WON,95,100,36,60,44,116,18,16,8,8,
Ruislip,,,28/03/2025,Semi-Final,https://www.dartsatlas.com/matches/rYRpUaBu06im,Tergel Khurelkhuu,First,Odbileg Khayankhyarvaa,3,19,WON,60,58,83,140,96,54,10,,,,
Ruislip,,,28/03/2025,Semi-Final,https://www.dartsatlas.com/matches/rYRpUaBu06im,Odbileg Khayankhyarvaa,Second,Tergel Khurelkhuu,3,18,LOST,97,100,24,60,80,83,,,,,
Ruislip,,,28/03/2025,Semi-Final,https://www.dartsatlas.com/matches/rYRpUaBu06im,Tergel Khurelkhuu,Second,Odbileg Khayankhyarvaa,4,26,WON,43,85,55,60,42,46,65,73,32,,
Ruislip,,,28/03/2025,Semi-Final,https://www.dartsatlas.com/matches/rYRpUaBu06im,Odbileg Khayankhyarvaa,First,Tergel Khurelkhuu,4,27,LOST,76,25,45,137,78,32,88,10,6,,
Ruislip,,,28/03/2025,Semi-Final,https://www.dartsatlas.com/matches/rYRpUaBu06im,Tergel Khurelkhuu,First,Odbileg Khayankhyarvaa,5,18,WON,100,100,100,60,81,60,,,,,
