Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21
Ruislip,,,29/08/2025,Group 1,https://www.dartsatlas.com/matches/HwKXTocb3CtA,Tomasz Lach,First,Malcolm Spoor,1,55,WON,45,41,24,45,60,26,41,41,41,77,50,0,0,0,0,0,0,2,8,,
Ruislip,,,29/08/2025,Group 1,https://www.dartsatlas.com/matches/HwKXTocb3CtA,Malcolm Spoor,Second,Tomasz Lach,1,54,LOST,60,18,43,41,44,17,35,83,81,29,28,0,12,0,0,0,0,0,,,
Ruislip,,,29/08/2025,Group 1,https://www.dartsatlas.com/matches/HwKXTocb3CtA,Tomasz Lach,Second,Malcolm Spoor,2,51,LOST,26,50,26,47,60,45,83,26,60,21,16,33,0,0,0,6,0,,,,
Ruislip,,,29/08/2025,Group 1,https://www.dartsatlas.com/matches/HwKXTocb3CtA,Malcolm Spoor,First,Tomasz Lach,2,52,WON,22,58,41,81,61,62,40,24,24,32,36,0,10,0,0,0,0,10,,,
Ruislip,,,29/08/2025,Group 1,https://www.dartsatlas.com/matches/HwKXTocb3CtA,Tomasz Lach,First,Malcolm Spoor,3,45,LOST,7,95,41,35,35,85,52,81,44,18,0,0,0,0,0,,,,,,
Ruislip,,,29/08/2025,Group 1,https://www.dartsatlas.com/matches/HwKXTocb3CtA,Malcolm Spoor,Second,Tomasz Lach,3,45,WON,41,44,41,34,45,36,25,22,25,79,39,14,16,5,35,,,,,,
Ruislip,,,29/08/2025,Group 1,https://www.dartsatlas.com/matches/76XxrUPYxjEv,Frankie Mealing,First,Callum Spoor,1,42,LOST,34,43,58,33,22,59,31,78,35,60,28,16,0,0,,,,,,,
Ruislip,,,29/08/2025,Group 1,https://www.dartsatlas.com/matches/76XxrUPYxjEv,Callum Spoor,Second,Frankie Mealing,1,41,WON,26,21,25,18,37,37,52,39,62,5,41,80,46,12,,,,,,,
Ruislip,,,29/08/2025,Group 1,https://www.dartsatlas.com/matches/76XxrUPYxjEv,Frankie Mealing,Second,Callum Spoor,2,28,WON,60,32,40,32,35,27,81,78,80,36,,,,,,,,,,,
Ruislip,,,29/08/2025,Group 1,https://www.dartsatlas.com/matches/76XxrUPYxjEv,Callum Spoor,First,Frankie Mealing,2,30,LOST,120,19,28,8,37,43,77,33,34,56,,,,,,,,,,,
