Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,Andy Ward,First,David Buckley,1,22,WON,95,100,82,96,25,44,19,40,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,David Buckley,Second,Andy Ward,1,21,LOST,140,58,137,55,81,0,22,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,Andy Ward,Second,David Buckley,2,15,LOST,46,100,40,55,100,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,David Buckley,First,Andy Ward,2,18,WON,84,100,96,140,41,40,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,Andy Ward,First,David Buckley,3,18,WON,55,140,99,57,80,70,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,David Buckley,Second,Andy Ward,3,15,LOST,100,100,60,100,65,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,Andy Ward,Second,David Buckley,4,15,LOST,100,60,135,59,99,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,David Buckley,First,Andy Ward,4,18,WON,45,140,96,50,68,102,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,Andy Ward,First,David Buckley,5,14,WON,180,140,85,80,16,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,David Buckley,Second,Andy Ward,5,12,LOST,45,93,44,41,,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,Andy Ward,Second,David Buckley,6,18,LOST,99,100,81,59,46,51,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,David Buckley,First,Andy Ward,6,20,WON,60,100,42,137,60,86,16,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,Andy Ward,First,David Buckley,7,21,LOST,40,60,60,28,100,140,53,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,David Buckley,Second,Andy Ward,7,20,WON,93,43,30,140,65,105,25,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,Andy Ward,Second,David Buckley,8,21,LOST,59,82,54,140,58,76,16,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,David Buckley,First,Andy Ward,8,23,WON,57,41,40,59,98,43,97,66,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,Andy Ward,First,David Buckley,9,21,LOST,60,81,83,44,60,45,103,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Final,https://www.dartsatlas.com/matches/wml6ErG7uonv,David Buckley,Second,Andy Ward,9,20,WON,60,100,140,85,32,52,32,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Terry Young,Second,Andy Ward,1,12,LOST,100,100,82,125,,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Semi-Final,https://www.dartsatlas.com/matches/1V1Ns27FHXHq,Andy Ward,First,Terry Young,1,13,WON,140,140,100,89,32,,,,,,,,,,,,,,,,
