Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/eiT2tnPyfWJ1,Tomasz Lach,First,Charlie Hardie,1,21,WON,100,59,33,26,45,81,157,,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/eiT2tnPyfWJ1,Charlie Hardie,Second,Tomasz Lach,1,18,LOST,45,45,64,40,58,32,,,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/eiT2tnPyfWJ1,Tomasz Lach,Second,Charlie Hardie,2,18,LOST,45,45,45,45,45,41,,,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/eiT2tnPyfWJ1,Charlie Hardie,First,Tomasz Lach,2,19,WON,60,62,60,85,140,62,32,,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/eiT2tnPyfWJ1,Tomasz Lach,First,Charlie Hardie,3,27,WON,121,85,26,45,47,42,26,66,43,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/eiT2tnPyfWJ1,Charlie Hardie,Second,Tomasz Lach,3,24,LOST,40,57,82,41,78,59,60,51,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/eiT2tnPyfWJ1,Tomasz Lach,Second,Charlie Hardie,4,27,LOST,26,26,31,45,11,47,45,95,80,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/eiT2tnPyfWJ1,Charlie Hardie,First,Tomasz Lach,4,28,WON,62,45,47,125,80,42,84,12,2,2,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/eiT2tnPyfWJ1,Tomasz Lach,First,Charlie Hardie,5,32,WON,156,36,45,7,11,28,45,41,82,28,22,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/eiT2tnPyfWJ1,Charlie Hardie,Second,Tomasz Lach,5,30,LOST,41,45,49,28,43,35,26,41,33,100,,,
