Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HIneCT9lrbo3,Mihaly Alberti,First,Dylan Loughnane,1,25,WON,55,30,80,100,60,40,27,69,40,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HIneCT9lrbo3,Dylan Loughnane,Second,Mihaly Alberti,1,24,LOST,41,26,60,45,26,100,60,69,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HIneCT9lrbo3,Mihaly Alberti,Second,Dylan Loughnane,2,21,LOST,26,22,41,41,140,23,28,,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HIneCT9lrbo3,Dylan Loughnane,First,Mihaly Alberti,2,24,WON,62,81,42,60,30,80,90,56,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HIneCT9lrbo3,Mihaly Alberti,First,Dylan Loughnane,3,21,LOST,24,41,22,100,30,66,41,,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HIneCT9lrbo3,Dylan Loughnane,Second,Mihaly Alberti,3,21,WON,60,60,100,45,100,83,53,,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HIneCT9lrbo3,Mihaly Alberti,Second,Dylan Loughnane,4,24,LOST,60,41,41,41,43,22,30,81,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HIneCT9lrbo3,Dylan Loughnane,First,Mihaly Alberti,4,26,WON,45,41,95,60,100,60,80,10,10,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/b0CjsnATWcBH,Bobby Harwood,Second,Charlie Hardie,1,27,WON,60,43,60,60,100,84,80,10,4,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/b0CjsnATWcBH,Charlie Hardie,First,Bobby Harwood,1,27,LOST,41,97,100,81,41,41,80,12,0,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/b0CjsnATWcBH,Bobby Harwood,First,Charlie Hardie,2,17,WON,60,135,45,28,177,56,,,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/b0CjsnATWcBH,Charlie Hardie,Second,Bobby Harwood,2,15,LOST,100,45,80,45,45,,,,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/b0CjsnATWcBH,Bobby Harwood,Second,Charlie Hardie,3,24,LOST,21,41,85,26,30,41,45,60,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/b0CjsnATWcBH,Charlie Hardie,First,Bobby Harwood,3,25,WON,60,60,58,41,60,60,43,99,20,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/b0CjsnATWcBH,Bobby Harwood,First,Charlie Hardie,4,24,WON,60,41,60,100,60,40,55,85,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/b0CjsnATWcBH,Charlie Hardie,Second,Bobby Harwood,4,21,LOST,76,50,100,100,83,27,55,,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/IMO1kWzCwmHK,Mihaly Alberti,First,Bobby Harwood,1,33,LOST,13,41,41,26,26,81,33,38,60,28,44,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/IMO1kWzCwmHK,Bobby Harwood,Second,Mihaly Alberti,1,32,WON,60,45,100,26,41,26,22,81,60,0,40,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/IMO1kWzCwmHK,Mihaly Alberti,Second,Bobby Harwood,2,27,LOST,24,38,41,26,41,30,41,39,41,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/IMO1kWzCwmHK,Bobby Harwood,First,Mihaly Alberti,2,28,WON,140,45,40,100,33,24,47,56,8,8,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/IMO1kWzCwmHK,Mihaly Alberti,First,Bobby Harwood,3,30,LOST,9,45,33,48,24,66,46,26,40,21,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/IMO1kWzCwmHK,Bobby Harwood,Second,Mihaly Alberti,3,29,WON,60,85,100,70,44,60,63,0,0,19,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/Y11pF0u4ICKL,Dylan Loughnane,First,Charlie Hardie,1,29,WON,100,41,60,81,61,40,98,0,0,20,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/Y11pF0u4ICKL,Charlie Hardie,Second,Dylan Loughnane,1,27,LOST,45,22,83,80,36,121,82,20,0,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/Y11pF0u4ICKL,Dylan Loughnane,Second,Charlie Hardie,2,24,LOST,60,60,41,40,60,45,45,140,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/Y11pF0u4ICKL,Charlie Hardie,First,Dylan Loughnane,2,26,WON,85,60,26,60,60,40,41,84,45,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/Y11pF0u4ICKL,Dylan Loughnane,First,Charlie Hardie,3,23,WON,24,140,83,60,60,74,40,20,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/Y11pF0u4ICKL,Charlie Hardie,Second,Dylan Loughnane,3,21,LOST,60,50,60,21,40,26,40,,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/Y11pF0u4ICKL,Dylan Loughnane,Second,Charlie Hardie,4,22,WON,45,85,60,100,100,55,16,40,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/Y11pF0u4ICKL,Charlie Hardie,First,Dylan Loughnane,4,24,LOST,24,60,45,45,40,80,40,45,,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HgyJQaB1JMb7,Charlie Hardie,First,Mihaly Alberti,1,30,WON,40,60,26,45,100,49,59,54,52,16,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HgyJQaB1JMb7,Mihaly Alberti,Second,Charlie Hardie,1,27,LOST,121,40,85,83,13,40,59,58,0,,,,,,
Wood Green,,,27/04/2025,Group 1,https://www.dartsatlas.com/matches/HgyJQaB1JMb7,Charlie Hardie,Second,Mihaly Alberti,2,24,LOST,44,95,70,44,59,47,80,44,,,,,,,
