Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,John Mcdermott,Second,George Whyte,1,26,WON,85,60,60,85,41,28,64,46,32,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,George Whyte,First,John Mcdermott,1,27,LOST,57,60,94,42,50,58,120,15,1,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,John Mcdermott,First,George Whyte,2,18,LOST,60,66,21,60,43,44,,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,George Whyte,Second,John Mcdermott,2,16,WON,80,55,134,140,52,40,,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,John Mcdermott,Second,George Whyte,3,15,LOST,32,100,100,87,63,,,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,George Whyte,First,John Mcdermott,3,17,WON,55,58,140,45,177,26,,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,John Mcdermott,First,George Whyte,4,21,LOST,58,82,81,28,26,81,45,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,George Whyte,Second,John Mcdermott,4,19,WON,140,57,80,42,100,62,20,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,John Mcdermott,Second,George Whyte,5,18,LOST,60,45,45,41,30,81,,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,George Whyte,First,John Mcdermott,5,21,WON,57,59,180,100,39,46,20,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,John Mcdermott,First,George Whyte,6,18,LOST,90,83,39,93,135,45,,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,George Whyte,Second,John Mcdermott,6,17,WON,83,100,96,95,64,63,,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,John Mcdermott,Second,George Whyte,7,21,LOST,60,40,85,26,140,98,20,,,,
Wood Green,,,27/04/2025,Final,https://www.dartsatlas.com/matches/zBNhL1c0j6zq,George Whyte,First,John Mcdermott,7,23,WON,57,136,129,40,99,20,15,5,,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,Bobby Harwood,Second,John Mcdermott,1,27,LOST,100,100,100,58,46,33,62,0,0,,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,John Mcdermott,First,Bobby Harwood,1,29,WON,81,13,41,60,46,45,45,28,122,20,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,Bobby Harwood,First,John Mcdermott,2,30,LOST,85,60,100,60,41,60,42,33,0,10,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,John Mcdermott,Second,Bobby Harwood,2,28,WON,76,100,121,60,76,11,37,0,10,10,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,Bobby Harwood,Second,John Mcdermott,3,30,WON,64,41,55,180,45,46,30,30,0,10,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,John Mcdermott,First,Bobby Harwood,3,30,LOST,36,46,100,60,100,99,50,0,0,0,
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,Bobby Harwood,First,John Mcdermott,4,32,WON,45,45,43,60,24,140,40,56,32,8,8
Wood Green,,,27/04/2025,Semi-Final,https://www.dartsatlas.com/matches/PpLyx4bqDZcz,John Mcdermott,Second,Bobby Harwood,4,30,LOST,41,100,95,27,30,81,57,45,0,21,
